Date,MarketCap,Ticker
2019-09-30,9991357870.279633,CHRW
2019-12-31,9215901936.949081,CHRW
2020-03-31,7801696980.949081,CHRW
2020-06-30,9317253364.059265,CHRW
2020-09-30,12043133992.190735,CHRW
2020-12-31,11062618591.995827,CHRW
2021-03-31,11246464948.555092,CHRW
2021-06-30,11039047969.919449,CHRW
2021-09-30,10252985931.0,CHRW
2021-12-31,12684239627.504173,CHRW
2022-03-31,12693667876.334724,CHRW
2022-06-30,11946496689.495827,CHRW
2022-09-30,11350172988.309265,CHRW
2022-12-31,10790383526.559265,CHRW
2023-03-31,11710795863.495827,CHRW
2023-06-30,11119186286.72454,CHRW
2023-09-30,10150455748.004173,CHRW
2023-12-31,10181097107.139816,CHRW
2024-03-31,8973130373.889816,CHRW
2024-06-30,10384978717.245827,CHRW
2024-09-30,13007150406.495827,CHRW
2024-12-31,12176304635.194908,CHRW
2025-03-31,12067882471.02546,CHRW
2025-06-30,11307746767.699081,CHRW
2025-09-30,15603393961.898163,CHRW
2025-12-31,18945631746.508347,CHRW
2019-09-30,9879382001.780495,EXPD
2019-12-31,10375411779.72152,EXPD
2020-03-31,8872693109.373993,EXPD
2020-06-30,10112104014.030495,EXPD
2020-09-30,12037711867.22152,EXPD
2020-12-31,12648108986.936996,EXPD
2021-03-31,14321048038.497986,EXPD
2021-06-30,16835775083.282509,EXPD
2021-09-30,15842384388.658516,EXPD
2021-12-31,17858421407.19304,EXPD
2022-03-31,13718630649.121979,EXPD
2022-06-30,12960621200.469505,EXPD
2022-09-30,11743817333.502014,EXPD
2022-12-31,13819697763.93901,EXPD
2023-03-31,14644199216.091484,EXPD
2023-06-30,16108352402.658516,EXPD
2023-09-30,15243956357.158516,EXPD
2023-12-31,16915565284.565018,EXPD
2024-03-31,16166865690.406502,EXPD
2024-06-30,16595074355.280495,EXPD
2024-09-30,17474097708.130035,EXPD
2024-12-31,14730638008.97152,EXPD
2025-03-31,15991326841.75,EXPD
2025-06-30,15193422799.75,EXPD
2025-09-30,16302508931.128021,EXPD
2025-12-31,19815946152.56703,EXPD
2019-09-30,34733987218.528076,FDX
2019-12-31,36079729176.73407,FDX
2020-03-31,28933455742.279022,FDX
2020-06-30,33457439617.588013,FDX
2020-09-30,60014372288.558044,FDX
2020-12-31,61947084827.64795,FDX
2021-03-31,67773865013.11609,FDX
2021-06-30,71183550313.53186,FDX
2021-09-30,52324073921.26593,FDX
2021-12-31,61713254867.05615,FDX
2022-03-31,55211217125.20599,FDX
2022-06-30,54094539254.73407,FDX
2022-09-30,35425945354.58801,FDX
2022-12-31,41326689411.02997,FDX
2023-03-31,54519258989.14606,FDX
2023-06-30,59150613356.05994,FDX
2023-09-30,63211705003.46814,FDX
2023-12-31,60360351356.58801,FDX
2024-03-31,69133919153.2959,FDX
2024-06-30,71543848845.23596,FDX
2024-09-30,65301895234.471924,FDX
2024-12-31,67127235461.53186,FDX
2025-03-31,58167554686.41199,FDX
2025-06-30,54237701123.823975,FDX
2025-09-30,56265858549.823975,FDX
2025-12-31,68923944042.94385,FDX
2019-09-30,89341794000.09074,UPS
2019-12-31,87283844217.72595,UPS
2020-03-31,69657071049.54446,UPS
2020-06-30,82899521861.90926,UPS
2020-09-30,124244897416.0481,UPS
2020-12-31,125564660345.81488,UPS
2021-03-31,126750226101.86661,UPS
2021-06-30,155069379524.13702,UPS
2021-09-30,135779847055.18512,UPS
2021-12-31,159819060654.08893,UPS
2022-03-31,159908544399.00363,UPS
2022-06-30,136107916194.99637,UPS
2022-09-30,120449614752.99637,UPS
2022-12-31,129620907873.08893,UPS
2023-03-31,144645427749.8666,UPS
2023-06-30,133654787308.5,UPS
2023-09-30,116221874728.9519,UPS
2023-12-31,117235936610.77042,UPS
2024-03-31,110823496180.0481,UPS
2024-06-30,102039935614.68512,UPS
2024-09-30,101659655298.08893,UPS
2024-12-31,94024370854.45372,UPS
2025-03-31,82012216293.13521,UPS
2025-06-30,75264237418.27405,UPS
2025-09-30,62282757158.862976,UPS
2025-12-31,73959378964.77405,UPS
