Date,MarketCap,Ticker
2019-09-30,133930689345.57376,ABBV
2019-12-31,156606222478.93033,ABBV
2020-03-31,134762009821.89752,ABBV
2020-06-30,173657090713.64343,ABBV
2020-09-30,154925890124.02872,ABBV
2020-12-31,189522891394.4672,ABBV
2021-03-31,191415466598.07376,ABBV
2021-06-30,199233393065.71313,ABBV
2021-09-30,190796402465.04095,ABBV
2021-12-31,239490415050.1312,ABBV
2022-03-31,286734070015.03687,ABBV
2022-06-30,270903652138.72128,ABBV
2022-09-30,237385610492.4057,ABBV
2022-12-31,285849688826.53687,ABBV
2023-03-31,281887651385.95496,ABBV
2023-06-30,238305347496.24182,ABBV
2023-09-30,263651715597.35248,ABBV
2023-12-31,274105107722.82376,ABBV
2024-03-31,322091639647.3688,ABBV
2024-06-30,303378130460.0082,ABBV
2024-09-30,349295186652.9918,ABBV
2024-12-31,314309068995.0656,ABBV
2025-03-31,370591100786.0082,ABBV
2025-06-30,328317663782.20496,ABBV
2025-09-30,409539228895.3443,ABBV
2025-12-31,404144525236.8319,ABBV
2019-09-30,104314982828.06282,AMGN
2019-12-31,129953048360.49957,AMGN
2020-03-31,109285187449.60442,AMGN
2020-06-30,127144502154.5208,AMGN
2020-09-30,137009442252.12479,AMGN
2020-12-31,123942438848.9376,AMGN
2021-03-31,134125426900.66681,AMGN
2021-06-30,131397745781.25,AMGN
2021-09-30,114632737798.54202,AMGN
2021-12-31,121274055502.7916,AMGN
2022-03-31,130357349116.74957,AMGN
2022-06-30,131155166972.60399,AMGN
2022-09-30,121505850654.79202,AMGN
2022-12-31,141580742058.49915,AMGN
2023-03-31,130319610431.25,AMGN
2023-06-30,119683807506.64558,AMGN
2023-09-30,144879833597.33276,AMGN
2023-12-31,155262265831.12564,AMGN
2024-03-31,153267725304.24957,AMGN
2024-06-30,168431701634.16595,AMGN
2024-09-30,173692990955.45883,AMGN
2024-12-31,140502606708.49915,AMGN
2025-03-31,167946527565.83405,AMGN
2025-06-30,150513080930.45883,AMGN
2025-09-30,152124904465.41595,AMGN
2025-12-31,176442239388.1668,AMGN
2019-09-30,34168321563.851562,BIIB
2019-12-31,43547659625.77734,BIIB
2020-03-31,46431463805.234375,BIIB
2020-06-30,39265242374.91406,BIIB
2020-09-30,41632458148.14844,BIIB
2020-12-31,35935293255.6543,BIIB
2021-03-31,41055698208.0,BIIB
2021-06-30,50818073878.22266,BIIB
2021-09-30,41531194405.53125,BIIB
2021-12-31,35210305769.03711,BIIB
2022-03-31,30907346892.54297,BIIB
2022-06-30,29929934558.617188,BIIB
2022-09-30,39184526976.0,BIIB
2022-12-31,40640373544.39453,BIIB
2023-03-31,40803273360.69141,BIIB
2023-06-30,41804167596.54297,BIIB
2023-09-30,37718410714.46875,BIIB
2023-12-31,37976702678.22266,BIIB
2024-03-31,31645542109.234375,BIIB
2024-06-30,34021563035.851562,BIIB
2024-09-30,28447672530.07422,BIIB
2024-12-31,22442313833.03711,BIIB
2025-03-31,20082436434.07422,BIIB
2025-06-30,18431402994.07422,BIIB
2025-09-30,20557934870.96289,BIIB
2025-12-31,25828034148.88867,BIIB
2019-09-30,78667494113.42862,GILD
2019-12-31,80653422931.91852,GILD
2020-03-31,92792393954.85724,GILD
2020-06-30,95498218478.12256,GILD
2020-09-30,78431662373.30606,GILD
2020-12-31,72312527576.04074,GILD
2021-03-31,80218994048.61212,GILD
2021-06-30,85469290018.53064,GILD
2021-09-30,86698079065.6734,GILD
2021-12-31,90123804028.53064,GILD
2022-03-31,73789563052.1633,GILD
2022-06-30,76718804626.69394,GILD
2022-09-30,76569856769.30606,GILD
2022-12-31,106557338841.6734,GILD
2023-03-31,102982675491.06128,GILD
2023-06-30,95659571554.73468,GILD
2023-09-30,93015811006.12256,GILD
2023-12-31,100549917304.85724,GILD
2024-03-31,90918173662.0,GILD
2024-06-30,85158989084.53064,GILD
2024-09-30,104062516680.81616,GILD
2024-12-31,114649992503.38788,GILD
2025-03-31,139076882406.6532,GILD
2025-06-30,137612261619.38788,GILD
2025-09-30,137773614696.0,GILD
2025-12-31,152345343905.14276,GILD
2019-09-30,14772845963.858414,INCY
2019-12-31,17377944856.7856,INCY
2020-03-31,14573831477.858414,INCY
2020-06-30,20691536352.357605,INCY
2020-09-30,17859559548.49919,INCY
2020-12-31,17310280660.358414,INCY
2021-03-31,16173906609.141586,INCY
2021-06-30,16743088160.570389,INCY
2021-09-30,13688216104.142395,INCY
2021-12-31,14607663576.072006,INCY
2022-03-31,15805730113.713593,INCY
2022-06-30,15119130744.357605,INCY
2022-09-30,13262325225.571198,INCY
2022-12-31,15984843454.785599,INCY
2023-03-31,14382776235.141586,INCY
2023-06-30,12388651753.5,INCY
2023-09-30,11497066947.321602,INCY
2023-12-31,12496119758.143204,INCY
2024-03-31,11337855510.357605,INCY
2024-06-30,12064257928.749596,INCY
2024-09-30,13154857220.927994,INCY
2024-12-31,13745930487.285599,INCY
2025-03-31,12050326975.463997,INCY
2025-06-30,13552886192.927994,INCY
2025-09-30,16878418071.78479,INCY
2025-12-31,19656660114.141586,INCY
2019-09-30,6313662873.297176,MRNA
2019-12-31,7757238808.919765,MRNA
2020-03-31,11877776819.471764,MRNA
2020-06-30,25464842045.933884,MRNA
2020-09-30,28058520486.5,MRNA
2020-12-31,41431429957.25482,MRNA
2021-03-31,51933048368.612946,MRNA
2021-06-30,93189979138.35812,MRNA
2021-09-30,152630413899.94214,MRNA
2021-12-31,100725129516.35812,MRNA
2022-03-31,68316050669.6033,MRNA
2022-06-30,56652435657.27411,MRNA
2022-09-30,46896396431.5,MRNA
2022-12-31,71234930215.98071,MRNA
2023-03-31,60907810992.13223,MRNA
2023-06-30,48185303733.0,MRNA
2023-09-30,40963457339.06612,MRNA
2023-12-31,39440562215.612946,MRNA
2024-03-31,42260295046.49036,MRNA
2024-06-30,47094689862.5,MRNA
2024-09-30,26503900713.632233,MRNA
2024-12-31,16490082448.132233,MRNA
2025-03-31,11243237688.985882,MRNA
2025-06-30,10941831583.094353,MRNA
2025-09-30,10243838615.202824,MRNA
2025-12-31,11695346469.60847,MRNA
2019-09-30,28822597249.82849,REGN
2019-12-31,39013371918.308716,REGN
2020-03-31,50734630739.24011,REGN
