Date,MarketCap,Ticker
2019-09-30,6946646218.203766,FOX
2019-12-31,8017055345.672943,FOX
2020-03-31,5039291535.479881,FOX
2020-06-30,5911476859.367294,FOX
2020-09-30,6160357777.847176,FOX
2020-12-31,6360784119.479881,FOX
2021-03-31,7693289393.734589,FOX
2021-06-30,7752756660.836472,FOX
2021-09-30,8175633884.42894,FOX
2021-12-31,7547925243.101883,FOX
2022-03-31,7990624889.0616455,FOX
2022-06-30,6541388458.836472,FOX
2022-09-30,6277089774.0,FOX
2022-12-31,6266077503.836472,FOX
2023-03-31,6895988683.21447,FOX
2023-06-30,7023732949.530823,FOX
2023-09-30,6360784119.479881,FOX
2023-12-31,6089878240.581764,FOX
2024-03-31,6303519810.520119,FOX
2024-06-30,7052365524.101883,FOX
2024-09-30,8545651875.163528,FOX
2024-12-31,10074178835.040237,FOX
2025-03-31,11609312148.796234,FOX
2025-06-30,11371443920.57106,FOX
2025-09-30,12618051891.203766,FOX
2025-12-31,14300752313.734589,FOX
2026-03-31,11695209032.327057,FOX
2026-06-30,10316452139.367294,FOX
2019-09-30,6312951002.373627,FOXA
2019-12-31,7420995492.747253,FOXA
2020-03-31,4730459096.554947,FOXA
2020-06-30,5369061194.747253,FOXA
2020-09-30,5571251839.686813,FOXA
2020-12-31,5829495461.445053,FOXA
2021-03-31,7228814512.505493,FOXA
2021-06-30,7433007090.384613,FOXA
2021-09-30,8029569360.505493,FOXA
2021-12-31,7386963778.263733,FOXA
2022-03-31,7897444841.131866,FOXA
2022-06-30,6438068947.373627,FOXA
2022-09-30,6141789745.252747,FOXA
2022-12-31,6079731351.445053,FOXA
2023-03-31,6816425490.868134,FOXA
2023-06-30,6806416208.0,FOXA
2023-09-30,6245887967.131866,FOXA
2023-12-31,5939599100.313187,FOXA
2024-03-31,6259901115.87912,FOXA
2024-06-30,6880485817.615387,FOXA
2024-09-30,8473988545.5164795,FOXA
2024-12-31,9725167995.51648,FOXA
2025-03-31,11330680793.736267,FOXA
2025-06-30,11218575603.75824,FOXA
2025-09-30,12623900453.63736,FOXA
2025-12-31,14627789124.747253,FOXA
2026-03-31,11691021086.263733,FOXA
2026-06-30,10441843187.373627,FOXA
2019-09-30,66765048270.18715,WBD
2019-12-31,82083659831.6257,WBD
2020-03-31,48738738825.83545,WBD
2020-06-30,52900585368.596756,WBD
2020-09-30,54580367150.2161,WBD
2020-12-31,75439743745.73871,WBD
2021-03-31,108960158773.5678,WBD
2021-06-30,76918954782.4774,WBD
2021-09-30,63631127392.68715,WBD
2021-12-31,59018000260.432205,WBD
2022-03-31,62477846805.119354,WBD
2022-06-30,33645774732.11935,WBD
2022-09-30,28832072073.0,WBD
2022-12-31,23767654787.283897,WBD
2023-03-31,37857765156.596756,WBD
2023-06-30,31439494147.440323,WBD
2023-09-30,27227503722.96292,WBD
2023-12-31,28531215955.679024,WBD
2024-03-31,21887302260.783897,WBD
2024-06-30,18653097206.33951,WBD
2024-09-30,20683877791.5,WBD
2024-12-31,26500434175.0226,WBD
2025-03-31,26901575664.783897,WBD
2025-06-30,28731786700.559677,WBD
2025-09-30,48964381511.57416,WBD
2025-12-31,72255678986.5226,WBD
2026-03-31,68845971541.5678,WBD
2026-06-30,66840264092.7613,WBD
