Date,MarketCap,Ticker
2019-09-30,8124603005.932301,CZR
2019-12-31,12153281447.104172,CZR
2020-03-31,2934393863.0651073,CZR
2020-06-30,8163321201.265614,CZR
2020-09-30,11423758913.265614,CZR
2020-12-31,15134543620.322945,CZR
2021-03-31,17820329247.77086,CZR
2021-06-30,21141900788.75,CZR
2021-09-30,22880121395.208344,CZR
2021-12-31,19059295951.458344,CZR
2022-03-31,15764216461.895828,CZR
2022-06-30,7804672617.630215,CZR
2022-09-30,6573857194.786472,CZR
2022-12-31,8477137740.260429,CZR
2023-03-31,9946373075.015614,CZR
2023-06-30,10386532135.041656,CZR
2023-09-30,9445080186.01043,CZR
2023-12-31,9553082713.8177,CZR
2024-03-31,8913221937.213528,CZR
2024-06-30,8098112509.213528,CZR
2024-09-30,8505667223.213528,CZR
2024-12-31,6810238897.812515,CZR
2025-03-31,5094433925.0,CZR
2025-06-30,5785239040.854172,CZR
2025-09-30,5507082995.190107,CZR
2025-12-31,4766352255.854172,CZR
2026-03-31,5385835607.697914,CZR
2026-06-30,6150000696.447914,CZR
2019-09-30,37411219300.69507,LVS
2019-12-31,44717290336.348145,LVS
2020-03-31,27507870075.13086,LVS
2020-06-30,29496312512.348145,LVS
2020-09-30,30221737146.608643,LVS
2020-12-31,38602989578.086426,LVS
2021-03-31,39354322852.69507,LVS
2021-06-30,34127374495.477783,LVS
2021-09-30,23705862346.086426,LVS
2021-12-31,24379472170.43457,LVS
2022-03-31,25176144330.260498,LVS
2022-06-30,21756282869.391357,LVS
2022-09-30,24301748720.174072,LVS
2022-12-31,31134995717.217285,LVS
2023-03-31,37210433514.95679,LVS
2023-06-30,37566668672.0,LVS
2023-09-30,29690622373.391357,LVS
2023-12-31,31873374671.651855,LVS
2024-03-31,33486151706.956787,LVS
2024-06-30,28660777392.0,LVS
2024-09-30,32605277701.391357,LVS
2024-12-31,33265933205.56543,LVS
2025-03-31,25020697429.739502,LVS
2025-06-30,28181477428.69507,LVS
2025-09-30,34839847280.348145,LVS
2025-12-31,42158867694.60742,LVS
2026-03-31,34898140485.7395,LVS
2026-06-30,29917316799.477783,LVS
2019-09-30,7092196058.520899,MGM
2019-12-31,8512170705.569401,MGM
2020-03-31,3019044621.7997503,MGM
2020-06-30,4298300552.800999,MGM
2020-09-30,5564764361.25,MGM
2020-12-31,8061872473.4097,MGM
2021-03-31,9719788847.087803,MGM
2021-06-30,10912055563.148003,MGM
2021-09-30,11039981180.648003,MGM
2021-12-31,11482603700.078602,MGM
2022-03-31,10730400444.541798,MGM
2022-06-30,7406893448.449001,MGM
2022-09-30,7603898528.520899,MGM
2022-12-31,8578691597.231598,MGM
2023-03-31,11364911390.222397,MGM
2023-06-30,11236985772.722397,MGM
2023-09-30,9405090969.162197,MGM
2023-12-31,11431433257.8796,MGM
2024-03-31,12078736570.111198,MGM
2024-06-30,11370028532.041798,MGM
2024-09-30,10001224815.1898,MGM
2024-12-31,8865245683.148003,MGM
2025-03-31,7583430449.240799,MGM
2025-06-30,8798723815.490799,MGM
2025-09-30,8867803766.0602,MGM
2025-12-31,9336011994.587803,MGM
2026-03-31,9469053777.912197,MGM
2026-06-30,12232247896.708202,MGM
2019-09-30,11195321555.22055,WYNN
2019-12-31,14299983740.367798,WYNN
2020-03-31,6197998357.876881,WYNN
2020-06-30,7670524920.614037,WYNN
2020-09-30,7394554861.308899,WYNN
2020-12-31,11618544310.080826,WYNN
2021-03-31,12909836997.496239,WYNN
2021-06-30,12593707183.551376,WYNN
2021-09-30,8727037262.25,WYNN
2021-12-31,8756899784.915413,WYNN
2022-03-31,8211137848.364037,WYNN
2022-06-30,5867452262.042294,WYNN
2022-09-30,6490444224.029449,WYNN
2022-12-31,8492256916.470551,WYNN
2023-03-31,11523808518.911652,WYNN
2023-06-30,10875072691.360275,WYNN
2023-09-30,9515817644.411652,WYNN
2023-12-31,9381951271.860275,WYNN
2024-03-31,10527021222.606514,WYNN
2024-06-30,9216163244.5,WYNN
2024-09-30,9873136386.253761,WYNN
2024-12-31,8872230825.661652,WYNN
2025-03-31,8598319898.5,WYNN
2025-06-30,9645564181.419174,WYNN
2025-09-30,13208461438.521927,WYNN
2025-12-31,12390848492.580826,WYNN
2026-03-31,10456998945.301376,WYNN
2026-06-30,9997734700.088348,WYNN
