Date,MarketCap,Ticker
2019-09-30,18763252137.545647,ANET
2019-12-31,15973737650.693829,ANET
2020-03-31,15906984793.434336,ANET
2020-06-30,16494415928.957516,ANET
2020-09-30,16250961230.338844,ANET
2020-12-31,22819514284.348656,ANET
2021-03-31,23708515428.04106,ANET
2021-06-30,28453515353.44628,ANET
2021-09-30,26987294026.50981,ANET
2021-12-31,45156830996.875,ANET
2022-03-31,43658408201.84272,ANET
2022-06-30,29446965156.04636,ANET
2022-09-30,35462640860.35253,ANET
2022-12-31,38120218243.94383,ANET
2023-03-31,52730613417.02247,ANET
2023-06-30,50908632494.660126,ANET
2023-09-30,57778751961.85538,ANET
2023-12-31,73981808834.92279,ANET
2024-03-31,91092718946.65443,ANET
2024-06-30,110097854774.90443,ANET
2024-09-30,120571097071.01962,ANET
2024-12-31,138885133216.32025,ANET
2025-03-31,97356561174.99431,ANET
2025-06-30,128556390095.1405,ANET
2025-09-30,183090146719.48862,ANET
2025-12-31,164644160289.32025,ANET
2019-09-30,195164214602.51416,CSCO
2019-12-31,189436866678.0849,CSCO
2020-03-31,155270300905.37262,CSCO
2020-06-30,184223009068.0566,CSCO
2020-09-30,155586284513.5566,CSCO
2020-12-31,176757713629.5,CSCO
2021-03-31,204248965585.5849,CSCO
2021-06-30,209344331226.0,CSCO
2021-09-30,214992679481.47168,CSCO
2021-12-31,250304717852.59906,CSCO
2022-03-31,220246029392.15567,CSCO
2022-06-30,168423436900.0566,CSCO
2022-09-30,157995721680.0,CSCO
2022-12-31,188172902110.0566,CSCO
2023-03-31,206500403414.11322,CSCO
2023-06-30,204367472622.84433,CSCO
2023-09-30,212346243308.15567,CSCO
2023-12-31,199548598289.95755,CSCO
2024-03-31,197139161123.51416,CSCO
2024-06-30,187659411795.65567,CSCO
2024-09-30,210213312516.88678,CSCO
2024-12-31,233833671099.92923,CSCO
2025-03-31,243747896005.5849,CSCO
2025-06-30,274043568405.25476,CSCO
2025-09-30,270251674701.16983,CSCO
2025-12-31,304260256203.6132,CSCO
2019-09-30,7936436211.17012,FFIV
2019-12-31,7892916129.483734,FFIV
2020-03-31,6026649924.75518,FFIV
2020-06-30,7883307956.563614,FFIV
2020-09-30,6938870956.478554,FFIV
2020-12-31,9944001029.606506,FFIV
2021-03-31,11791050457.286987,FFIV
2021-06-30,10549887705.15976,FFIV
2021-09-30,11234901017.946747,FFIV
2021-12-31,13830831675.292892,FFIV
2022-03-31,11809701920.866867,FFIV
2022-06-30,8649709160.457108,FFIV
2022-09-30,8180034139.813614,FFIV
2022-12-31,8111080557.760361,FFIV
2023-03-31,8234293021.356506,FFIV
2023-06-30,8266508558.510361,FFIV
2023-09-30,9107515616.723373,FFIV
2023-12-31,10115819240.063614,FFIV
2024-03-31,10715488761.09024,FFIV
2024-06-30,9734314147.313614,FFIV
2024-09-30,12445543742.116867,FFIV
2024-12-31,14212901650.303253,FFIV
2025-03-31,15049386200.770721,FFIV
2025-06-30,16634752843.319519,FFIV
2025-09-30,18266463978.856506,FFIV
2025-12-31,14427109315.51036,FFIV
2019-09-30,28229935800.581055,MSI
2019-12-31,26694276978.569824,MSI
2020-03-31,22019382279.709473,MSI
2020-06-30,23213784147.441406,MSI
2020-09-30,25976973586.279297,MSI
2020-12-31,28171954170.279297,MSI
2021-03-31,31152158907.15088,MSI
2021-06-30,35923136078.30176,MSI
2021-09-30,38485879649.16211,MSI
2021-12-31,45009528412.603516,MSI
2022-03-31,40122587980.84912,MSI
2022-06-30,34722108966.30176,MSI
2022-09-30,37102626722.86035,MSI
2022-12-31,42691956795.97754,MSI
2023-03-31,47399985299.44141,MSI
2023-06-30,48584445509.13965,MSI
2023-09-30,45098980585.11719,MSI
2023-12-31,51866148151.418945,MSI
2024-03-31,58805602401.743164,MSI
2024-06-30,63952620955.396484,MSI
2024-09-30,74485217411.4414,MSI
2024-12-31,76572520713.74316,MSI
2025-03-31,72527127858.2793,MSI
2025-06-30,69652944723.97754,MSI
2025-09-30,75754165284.02246,MSI
2025-12-31,63500375361.16211,MSI
