Date,MarketCap,Ticker
2019-09-30,203978470340.55435,BAC
2019-12-31,246284605951.36978,BAC
2020-03-31,148456044587.92383,BAC
2020-06-30,166077773668.75,BAC
2020-09-30,168455309179.85873,BAC
2020-12-31,211950199208.61948,BAC
2021-03-31,270549424638.77148,BAC
2021-06-30,288311011887.9238,BAC
2021-09-30,296842173429.29364,BAC
2021-12-31,311107386495.9459,BAC
2022-03-31,288241096141.36975,BAC
2022-06-30,217684250733.90204,BAC
2022-09-30,211181005958.0436,BAC
2022-12-31,231599818379.73895,BAC
2023-03-31,199992605906.52182,BAC
2023-06-30,200621954326.38052,BAC
2023-09-30,191461444365.15204,BAC
2023-12-31,235445824645.4453,BAC
2024-03-31,265165005196.6953,BAC
2024-06-30,278101605677.0762,BAC
2024-09-30,277472257257.21747,BAC
2024-12-31,307331295976.79364,BAC
2025-03-31,291807386070.4238,BAC
2025-06-30,330896850497.78253,BAC
2025-09-30,360755889217.3587,BAC
2025-12-31,384601160075.0,BAC
2026-03-31,340896482793.75,BAC
2026-06-30,398446798636.6738,BAC
2019-09-30,115877336041.11848,C
2019-12-31,134010423570.04384,C
2020-03-31,70653635508.26422,C
2020-06-30,85717017051.73459,C
2020-09-30,72314300738.95616,C
2020-12-31,103430751783.82346,C
2021-03-31,122033525963.25,C
2021-06-30,118678652397.25,C
2021-09-30,117722513942.85309,C
2021-12-31,101300406301.54384,C
2022-03-31,89575126771.76541,C
2022-06-30,77145320465.69194,C
2022-09-30,69898787676.13152,C
2022-12-31,75870464927.22038,C
2023-03-31,78655009731.04384,C
2023-06-30,77229191025.05923,C
2023-09-30,68992976676.48578,C
2023-12-31,86287345813.91113,C
2024-03-31,106081104972.44194,C
2024-06-30,106450136713.44077,C
2024-09-30,105007540056.23459,C
2024-12-31,118074774131.54384,C
2025-03-31,119081233641.77844,C
2025-06-30,142783423576.17773,C
2025-09-30,170259833474.5,C
2025-12-31,195740102303.57465,C
2026-03-31,190238111702.98697,C
2026-06-30,234774063410.76776,C
2019-09-30,312841939779.2624,JPM
2019-12-31,370551139358.719,JPM
2020-03-31,239316499890.9938,JPM
2020-06-30,250028987011.9876,JPM
2020-09-30,255903576069.29547,JPM
2020-12-31,337775718987.436,JPM
2021-03-31,404655673107.85333,JPM
2021-06-30,413454262923.59094,JPM
2021-09-30,435118504749.2624,JPM
2021-12-31,420923800202.531,JPM
2022-03-31,362363961571.5372,JPM
2022-06-30,299338349041.3781,JPM
2022-09-30,277780457377.5,JPM
2022-12-31,356462784973.781,JPM
2023-03-31,346388236580.7376,JPM
2023-06-30,386606606690.5124,JPM
2023-09-30,385490173355.89667,JPM
2023-12-31,452157487993.781,JPM
2024-03-31,532434702970.6405,JPM
2024-06-30,537644725198.8471,JPM
2024-09-30,560505142700.128,JPM
2024-12-31,637193830650.159,JPM
2025-03-31,652053081745.6405,JPM
2025-06-30,770634769527.0186,JPM
2025-09-30,838471652019.7129,JPM
2025-12-31,856520758997.7562,JPM
2026-03-31,781932060855.7686,JPM
2026-06-30,870104051515.9319,JPM
2019-09-30,55915945827.69534,PNC
2019-12-31,63683379511.177124,PNC
2020-03-31,38186888292.23178,PNC
2020-06-30,41972862839.826164,PNC
2020-09-30,43847899900.94534,PNC
2020-12-31,59442606383.0,PNC
2021-03-31,69978710089.44534,PNC
2021-06-30,76102491725.45699,PNC
2021-09-30,78049338768.38411,PNC
2021-12-31,79996185811.31123,PNC
2022-03-31,73585158160.67055,PNC
2022-06-30,62941344047.06123,PNC
