Date,MarketCap,Ticker
2019-09-30,19345641142.977585,CPRT
2019-12-31,21900816789.13678,CPRT
2020-03-31,16501471877.999428,CPRT
2020-06-30,20053671558.749428,CPRT
2020-09-30,25325378402.45517,CPRT
2020-12-31,30645248093.25,CPRT
2021-03-31,26156231152.159195,CPRT
2021-06-30,31748236638.477585,CPRT
2021-09-30,33407535189.81839,CPRT
2021-12-31,36514203271.22644,CPRT
2022-03-31,30216576154.56839,CPRT
2022-06-30,26168273241.95517,CPRT
2022-09-30,25624003488.272987,CPRT
2022-12-31,29327923578.68161,CPRT
2023-03-31,36225211489.772415,CPRT
2023-06-30,43931678593.772415,CPRT
2023-09-30,41508958585.909195,CPRT
2023-12-31,47202111012.0,CPRT
2024-03-31,55794820069.08966,CPRT
2024-06-30,52172782147.090805,CPRT
2024-09-30,50477361001.09195,CPRT
2024-12-31,55284267799.36322,CPRT
2025-03-31,54513621823.909195,CPRT
2025-06-30,47269542305.18161,CPRT
2025-09-30,43319979384.27356,CPRT
2025-12-31,37713524860.09195,CPRT
2019-09-30,26812140517.57528,CTAS
2019-12-31,26910146386.409386,CTAS
2020-03-31,17323382720.815056,CTAS
2020-06-30,26638124553.96933,CTAS
2020-09-30,33285655222.971886,CTAS
2020-12-31,35348820374.79461,CTAS
2021-03-31,34133724006.93239,CTAS
2021-06-30,38203049028.5,CTAS
2021-09-30,38069038699.19517,CTAS
2021-12-31,44320538615.028114,CTAS
2022-03-31,42542396821.59317,CTAS
2022-06-30,37355981300.997444,CTAS
2022-09-30,38822098679.69261,CTAS
2022-12-31,45165604229.61478,CTAS
2023-03-31,46271692263.609665,CTAS
2023-06-30,49711966225.409386,CTAS
2023-09-30,48104840278.20795,CTAS
2023-12-31,60270807595.69377,CTAS
2024-03-31,68708486631.62384,CTAS
2024-06-30,70031590276.89545,CTAS
2024-09-30,82358575084.0409,CTAS
2024-12-31,73085831842.09944,CTAS
2025-03-31,82218561467.98978,CTAS
2025-06-30,89155113617.2091,CTAS
2025-09-30,82110551138.579,CTAS
2025-12-31,75234007440.81134,CTAS
2019-09-30,10814743699.886902,LDOS
2019-12-31,12327145878.419312,LDOS
2020-03-31,11541351982.951721,LDOS
2020-06-30,11795727235.257935,LDOS
2020-09-30,11226530602.951721,LDOS
2020-12-31,13237609732.113098,LDOS
2021-03-31,12124400832.838623,LDOS
2021-06-30,12731376415.048279,LDOS
2021-09-30,12105511357.886902,LDOS
2021-12-31,11195048464.951721,LDOS
2022-03-31,13602801764.306213,LDOS
2022-06-30,12682264356.628967,LDOS
2022-09-30,11014970597.161377,LDOS
2022-12-31,13246424692.322754,LDOS
2023-03-31,11592982189.677246,LDOS
2023-06-30,11142158703.693787,LDOS
2023-09-30,11605575813.48413,LDOS
2023-12-31,13630506199.46759,LDOS
2024-03-31,16507973420.51587,LDOS
2024-06-30,18370457780.645508,LDOS
2024-09-30,20526353976.0,LDOS
2024-12-31,18141266893.677246,LDOS
2025-03-31,16992799114.322754,LDOS
2025-06-30,19866487671.773804,LDOS
2025-09-30,23795460031.387573,LDOS
2025-12-31,22717510012.193115,LDOS
