Date,MarketCap,Ticker
2019-09-30,21032787620.87478,AME
2019-12-31,22846985399.12345,AME
2020-03-31,16497291427.622566,AME
2020-06-30,20471578018.87699,AME
2020-09-30,22769103992.126106,AME
2020-12-31,27703173542.50177,AME
2021-03-31,29258528015.127434,AME
2021-06-30,30580234771.5,AME
2021-09-30,28406404339.62655,AME
2021-12-31,33681779142.245132,AME
2022-03-31,30506932156.49469,AME
2022-06-30,25171999852.999557,AME
2022-09-30,25978311141.752655,AME
2022-12-31,32005022019.500885,AME
2023-03-31,33290079216.001328,AME
2023-06-30,37081112765.00354,AME
2023-09-30,33846706530.746017,AME
2023-12-31,37770598447.99956,AME
2024-03-31,41896065565.995575,AME
2024-06-30,38187499206.50487,AME
2024-09-30,39332826351.50487,AME
2024-12-31,41291332973.24602,AME
2025-03-31,39431322808.24956,AME
2025-06-30,41451681569.75487,AME
2025-09-30,43064300652.0,AME
2025-12-31,47029422668.74823,AME
2019-09-30,37575320343.01758,EMR
2019-12-31,42858121200.56152,EMR
2020-03-31,26779300857.543945,EMR
2020-06-30,34860859313.96484,EMR
2020-09-30,36850339828.49121,EMR
2020-12-31,45167941543.5791,EMR
2021-03-31,50703640686.03516,EMR
2021-06-30,54086878799.43848,EMR
2021-09-30,52940398284.91211,EMR
2021-12-31,52249140686.03516,EMR
2022-03-31,55104101715.08789,EMR
2022-06-30,44701480514.52637,EMR
2022-09-30,41149640686.03516,EMR
2022-12-31,53985718627.92969,EMR
2023-03-31,48972679656.98242,EMR
2023-06-30,50799179656.98242,EMR
2023-09-30,54272339828.49121,EMR
2023-12-31,54699461029.052734,EMR
2024-03-31,63742038970.947266,EMR
2024-06-30,61909922058.10547,EMR
2024-09-30,61465941543.5791,EMR
2024-12-31,69648660171.50879,EMR
2025-03-31,61617679656.98242,EMR
2025-06-30,74931461029.05273,EMR
2025-09-30,73723155883.78906,EMR
2025-12-31,74588640686.03516,EMR
2019-09-30,32260981613.018646,ETN
2019-12-31,36749971878.41492,ETN
2020-03-31,30142582011.829834,ETN
2020-06-30,33940958845.64102,ETN
2020-09-30,39586143766.58508,ETN
2020-12-31,46612558510.79254,ETN
2021-03-31,53650612341.58508,ETN
2021-06-30,57491664839.5105,ETN
2021-09-30,57930090168.170166,ETN
2021-12-31,67051629300.4895,ETN
2022-03-31,58880653067.13287,ETN
2022-06-30,48882272157.773895,ETN
2022-09-30,51741725179.20746,ETN
2022-12-31,60894297928.96271,ETN
2023-03-31,66477406734.75525,ETN
2023-06-30,78023854242.07458,ETN
2023-09-30,82749512841.58508,ETN
2023-12-31,93434632420.4895,ETN
2024-03-31,121315253269.5105,ETN
2024-06-30,121652798620.85083,ETN
2024-09-30,128593862036.82983,ETN
2024-12-31,128760692891.34033,ETN
2025-03-31,105466049762.43591,ETN
2025-06-30,138506882737.68066,ETN
2025-09-30,145203513495.0,ETN
2025-12-31,123577214432.31934,ETN
2019-09-30,4596664072.302704,GNRC
2019-12-31,5902201223.052704,GNRC
2020-03-31,5466826694.151352,GNRC
2020-06-30,7154343604.016441,GNRC
2020-09-30,11361987104.467117,GNRC
2020-12-31,13343470032.947296,GNRC
2021-03-31,19213400267.407654,GNRC
2021-06-30,24359269220.921173,GNRC
2021-09-30,23979051007.97342,GNRC
2021-12-31,20649197825.72342,GNRC
2022-03-31,17441976907.026123,GNRC
2022-06-30,12355955757.098648,GNRC
2022-09-30,10452511785.967117,GNRC
2022-12-31,5906308960.697296,GNRC
2023-03-31,6337576199.615089,GNRC
2023-06-30,8750326367.013062,GNRC
2023-09-30,6393318056.200676,GNRC
2023-12-31,7583264203.795944,GNRC
2024-03-31,7401368781.967117,GNRC
2024-06-30,7758117917.565765,GNRC
2024-09-30,9322415680.263062,GNRC
2024-12-31,9097687155.414413,GNRC
2025-03-31,7431293579.082207,GNRC
2025-06-30,8402965578.61171,GNRC
2025-09-30,9822333081.671173,GNRC
2025-12-31,8001622241.486938,GNRC
2019-09-30,18516583581.289124,ROK
2019-12-31,22771577008.626526,ROK
2020-03-31,16955932307.746948,ROK
2020-06-30,23932234404.0,ROK
2020-09-30,24795142314.506104,ROK
2020-12-31,28180486631.1687,ROK
2021-03-31,29824283373.8313,ROK
2021-06-30,32136607611.759155,ROK
2021-09-30,33037720228.409546,ROK
2021-12-31,39196056891.57825,ROK
2022-03-31,31463584840.08435,ROK
2022-06-30,22394054369.1687,ROK
2022-09-30,24169309658.457825,ROK
2022-12-31,28940027186.493896,ROK
2023-03-31,32971429474.156494,ROK
2023-06-30,37016314162.156494,ROK
2023-09-30,32119754611.337402,ROK
2023-12-31,34884884510.240845,ROK
2024-03-31,32733227828.927856,ROK
2024-06-30,30929884777.08435,ROK
2024-09-30,30163603021.590454,ROK
2024-12-31,32110767487.409546,ROK
2025-03-31,29031036817.662598,ROK
2025-06-30,37321927809.07214,ROK
2025-09-30,39272459446.08435,ROK
2025-12-31,43715092088.4939,ROK
