Date,MarketCap,Ticker
2019-09-30,12027365330.66455,CBOE
2019-12-31,12560123520.0,CBOE
2020-03-31,9341591868.0,CBOE
2020-06-30,9763402555.111816,CBOE
2020-09-30,9183543423.445679,CBOE
2020-12-31,9746656138.998413,CBOE
2021-03-31,10329655173.776367,CBOE
2021-06-30,12460689528.220459,CBOE
2021-09-30,12964140890.444092,CBOE
2021-12-31,13648666919.559082,CBOE
2022-03-31,11976077584.667725,CBOE
2022-06-30,11847336765.776367,CBOE
2022-09-30,12284847766.998413,CBOE
2022-12-31,13132655944.888184,CBOE
2023-03-31,14050592085.996826,CBOE
2023-06-30,14445188150.003174,CBOE
2023-09-30,16350141494.88501,CBOE
2023-12-31,18689463542.223633,CBOE
2024-03-31,19230595338.891357,CBOE
2024-06-30,17799788126.223633,CBOE
2024-09-30,21443270368.447266,CBOE
2024-12-31,20452067159.559082,CBOE
2025-03-31,23685252225.11499,CBOE
2025-06-30,24409554086.88501,CBOE
2025-09-30,25669752444.0,CBOE
2025-12-31,26271591696.0,CBOE
2019-09-30,76675195324.98862,CME
2019-12-31,72822208601.83713,CME
2020-03-31,62732604022.76138,CME
2020-06-30,58970312999.3958,CME
2020-09-30,60700894127.575745,CME
2020-12-31,66048640980.34282,CME
2021-03-31,74095651958.82005,CME
2021-06-30,77161352619.97723,CME
2021-09-30,70159221648.84851,CME
2021-12-31,82886419713.6042,CME
2022-03-31,86296783963.41856,CME
2022-06-30,74266170724.90718,CME
2022-09-30,64263641325.09851,CME
2022-12-31,61009280543.51138,CME
2023-03-31,69484404233.42995,CME
2023-06-30,67224125452.6458,CME
2023-09-30,72640806130.33713,CME
2023-12-31,76406723210.18564,CME
2024-03-31,78108273742.6458,CME
2024-06-30,71327454008.18564,CME
2024-09-30,80052908458.56436,CME
2024-12-31,84254190362.82005,CME
2025-03-31,96248526428.6099,CME
2025-06-30,99996296618.15149,CME
2025-09-30,98026268434.92426,CME
2025-12-31,99074768962.7916,CME
2019-09-30,9014007004.517181,FDS
2019-12-31,9953730736.828186,FDS
2020-03-31,9671034564.396912,FDS
2020-06-30,12185993649.017181,FDS
2020-09-30,12423800035.068726,FDS
2020-12-31,12335503617.5,FDS
2021-03-31,11448460198.948456,FDS
2021-06-30,12450881769.543823,FDS
2021-09-30,14646045422.732819,FDS
2021-12-31,18030611228.88745,FDS
2022-03-31,16106643068.414093,FDS
2022-06-30,14267262305.353088,FDS
2022-09-30,14843783975.043823,FDS
2022-12-31,14884593386.37973,FDS
2023-03-31,15399531282.448456,FDS
2023-06-30,14863817891.914093,FDS
2023-09-30,16222022352.637451,FDS
2023-12-31,17698201053.078186,FDS
2024-03-31,16857532840.456177,FDS
2024-06-30,15146514064.345367,FDS
2024-09-30,17060094477.585907,FDS
2024-12-31,17818032067.23282,FDS
2025-03-31,16866807655.206177,FDS
2025-06-30,16593756520.232819,FDS
2025-09-30,10628566348.612549,FDS
2025-12-31,10765834059.784363,FDS
2019-09-30,52399809348.11912,ICE
2019-12-31,52558824011.23262,ICE
2020-03-31,45857643424.75,ICE
2020-06-30,52019319724.25869,ICE
2020-09-30,56818047858.73262,ICE
2020-12-31,65472789503.694786,ICE
2021-03-31,63422682745.14826,ICE
2021-06-30,67409314360.01738,ICE
2021-09-30,65205877449.35174,ICE
2021-12-31,77671208509.32567,ICE
