Date,MarketCap,Ticker
2020-12-31,61586940101.1026,ABNB
2021-03-31,78846385778.88208,ABNB
2021-06-30,64246755949.77948,ABNB
2021-09-30,70376083019.0,ABNB
2021-12-31,69847478082.98468,ABNB
2022-03-31,72058394234.01532,ABNB
2022-06-30,37371693616.66156,ABNB
2022-09-30,44067384946.33078,ABNB
2022-12-31,35869777038.0,ABNB
2023-03-31,52189477406.5513,ABNB
2023-06-30,53766909433.32312,ABNB
2023-09-30,57563653195.42572,ABNB
2023-12-31,57114753497.77948,ABNB
2024-03-31,69205598374.42572,ABNB
2024-06-30,63613268624.76416,ABNB
2024-09-30,53200541972.11792,ABNB
2024-12-31,55130380490.32312,ABNB
2025-03-31,50117000375.66922,ABNB
2025-06-30,55520539904.67688,ABNB
2025-09-30,50939277921.33844,ABNB
2025-12-31,56938551852.44104,ABNB
2026-03-31,52978191819.55896,ABNB
2026-06-30,60034682024.2052,ABNB
2019-09-30,58986676947.66617,BKNG
2019-12-31,61725307300.79651,BKNG
2020-03-31,40433889593.091965,BKNG
2020-06-30,47858128790.08293,BKNG
2020-09-30,51414863988.07526,BKNG
2020-12-31,66941087914.08157,BKNG
2021-03-31,70023856406.37207,BKNG
2021-06-30,65763524614.61258,BKNG
2021-09-30,71347187706.28357,BKNG
2021-12-31,72109385581.49338,BKNG
2022-03-31,70583184068.91632,BKNG
2022-06-30,52566280998.02017,BKNG
2022-09-30,49387038945.89615,BKNG
2022-12-31,60569682578.39584,BKNG
2023-03-31,79718764126.53732,BKNG
2023-06-30,81159011360.42023,BKNG
2023-09-30,92688797003.09753,BKNG
2023-12-31,106612472939.02588,BKNG
2024-03-31,109036734431.99158,BKNG
2024-06-30,119063759074.66888,BKNG
2024-09-30,126596194954.07104,BKNG
2024-12-31,149326957014.57977,BKNG
2025-03-31,138461691845.84045,BKNG
2025-06-30,173996878329.04816,BKNG
2025-09-30,162276243690.3534,BKNG
2025-12-31,160955618167.38892,BKNG
2026-03-31,126542090880.28717,BKNG
2026-06-30,133926064447.45636,BKNG
2019-09-30,59867361737.53878,CCL
2019-12-31,69619267226.67244,CCL
2020-03-31,18038279001.725937,CCL
2020-06-30,22489638638.475937,CCL
2020-09-30,20791274044.40374,CCL
2020-12-31,29666599708.54813,CCL
2021-03-31,36350488872.21122,CCL
2021-06-30,36103951612.80748,CCL
2021-09-30,34254924779.677803,CCL
2021-12-31,27557341423.735283,CCL
2022-03-31,27694304245.716583,CCL
2022-06-30,11847464356.870325,CCL
2022-09-30,9628633593.93382,CCL
2022-12-31,11039372473.867641,CCL
2023-03-31,13901938035.370325,CCL
2023-06-30,25790492806.274063,CCL
2023-09-30,18791586278.41577,CCL
2023-12-31,25393295920.21122,CCL
2024-03-31,22380066813.45187,CCL
