Date,MarketCap,Ticker
2019-09-30,13239875459.37291,AKAM
2019-12-31,12515434889.37291,AKAM
2020-03-31,13255813240.345596,AKAM
2020-06-30,15516067597.66388,AKAM
2020-09-30,16015932254.20903,AKAM
2020-12-31,15211802779.345596,AKAM
2021-03-31,14764099037.681717,AKAM
2021-06-30,16893953871.318283,AKAM
2021-09-30,15153847312.66388,AKAM
2021-12-31,16957704995.20903,AKAM
2022-03-31,17298191842.027313,AKAM
2022-06-30,13232631716.91806,AKAM
2022-09-30,11637413272.263657,AKAM
2022-12-31,12214068452.363434,AKAM
2023-03-31,11344739768.363434,AKAM
2023-06-30,13021095203.12709,AKAM
2023-09-30,15436379798.20903,AKAM
2023-12-31,17147508070.818283,AKAM
2024-03-31,15758031588.154404,AKAM
2024-06-30,13051521574.41806,AKAM
2024-09-30,14626454666.136566,AKAM
2024-12-31,13858548325.181717,AKAM
2025-03-31,11663493177.0,AKAM
2025-06-30,11556276282.154404,AKAM
2025-09-30,10976723826.154404,AKAM
2025-12-31,12641487946.5,AKAM
2019-09-30,8798705087.320915,GDDY
2019-12-31,9057411382.461319,GDDY
2020-03-31,7615853703.262894,GDDY
2020-06-30,9778857643.788681,GDDY
2020-09-30,10130912431.275787,GDDY
2020-12-31,11061723598.185532,GDDY
2021-03-31,10350946927.808022,GDDY
2021-06-30,11596473892.23066,GDDY
2021-09-30,9294781547.935532,GDDY
2021-12-31,11316430450.012894,GDDY
2022-03-31,11161739185.935532,GDDY
2022-06-30,9276112052.948425,GDDY
2022-09-30,9452139446.691978,GDDY
2022-12-31,9977554993.243553,GDDY
2023-03-31,10364282136.025787,GDDY
2023-06-30,10018894443.941978,GDDY
2023-09-30,9932215081.820915,GDDY
2023-12-31,14156873549.077362,GDDY
2024-03-31,15826466646.256447,GDDY
2024-06-30,18630904581.39183,GDDY
2024-09-30,20907258300.474213,GDDY
2024-12-31,26320101421.14685,GDDY
2025-03-31,24022410554.987106,GDDY
2025-06-30,24011741981.448425,GDDY
2025-09-30,18246844073.28868,GDDY
2025-12-31,16546579081.538681,GDDY
2020-09-30,21768972134.5,PLTR
2020-12-31,53964134437.796555,PLTR
2021-03-31,53368355888.69413,PLTR
2021-06-30,60403170394.96275,PLTR
2021-09-30,55086958951.94413,PLTR
2021-12-31,41727680277.80587,PLTR
2022-03-31,31461892362.277935,PLTR
2022-06-30,20783639012.268623,PLTR
2022-09-30,18629657467.868015,PLTR
2022-12-31,14711242396.245344,PLTR
2023-03-31,19362927408.88664,PLTR
2023-06-30,35128246438.004654,PLTR
2023-09-30,36663532016.0,PLTR
2023-12-31,39344552969.495346,PLTR
2024-03-31,52726742504.98603,PLTR
2024-06-30,58042953948.004654,PLTR
2024-09-30,85242713685.45345,PLTR
2024-12-31,173303926604.4176,PLTR
2025-03-31,193400134880.9069,PLTR
2025-06-30,312373309559.55304,PLTR
2025-09-30,418010090201.61176,PLTR
2025-12-31,407308925990.25,PLTR
2019-09-30,17297371447.753906,VRSN
2019-12-31,17668755328.36914,VRSN
2020-03-31,16514252664.18457,VRSN
2020-06-30,18966311167.907715,VRSN
2020-09-30,18784745559.692383,VRSN
2020-12-31,19843879440.307617,VRSN
2021-03-31,18226291496.276855,VRSN
2021-06-30,20879173223.876953,VRSN
2021-09-30,18799416496.276855,VRSN
2021-12-31,23275294671.63086,VRSN
2022-03-31,20399582615.66162,VRSN
2022-06-30,15344161167.907715,VRSN
2022-09-30,15928289720.153809,VRSN
2022-12-31,18838848223.876953,VRSN
2023-03-31,19378961167.907715,VRSN
2023-06-30,20721449111.938477,VRSN
2023-09-30,18572000888.061523,VRSN
2023-12-31,18886532615.66162,VRSN
2024-03-31,17378066496.276855,VRSN
2024-06-30,16304260279.846191,VRSN
2024-09-30,17419332615.66162,VRSN
2024-12-31,18978232615.66162,VRSN
2025-03-31,23279878552.246094,VRSN
2025-06-30,26482958880.615234,VRSN
2025-09-30,25636569671.63086,VRSN
2025-12-31,22278514720.15381,VRSN
