Date,MarketCap,Ticker
2019-09-30,225021849715.27258,DIS
2019-12-31,249730735067.3484,DIS
2020-03-31,166797952098.48486,DIS
2020-06-30,192542860130.62115,DIS
2020-09-30,214247313961.81815,DIS
2020-12-31,312841120257.7274,DIS
2021-03-31,318608274534.2423,DIS
2021-06-30,303499764141.7423,DIS
2021-09-30,292103620049.6819,DIS
2021-12-31,267446533196.89395,DIS
2022-03-31,236832381801.6363,DIS
2022-06-30,162999246183.51514,DIS
2022-09-30,162878378627.31815,DIS
2022-12-31,150014553303.27277,DIS
2023-03-31,172893154754.77277,DIS
2023-06-30,154158604502.7879,DIS
2023-09-30,139947978676.53024,DIS
2023-12-31,155902561962.40906,DIS
2024-03-31,211277410382.60605,DIS
2024-06-30,171442744080.40906,DIS
2024-09-30,166090017318.9242,DIS
2024-12-31,192266583902.98486,DIS
2025-03-31,170423991957.96976,DIS
2025-06-30,214126446405.62115,DIS
2025-09-30,197705650279.0,DIS
2025-12-31,196445163044.16675,DIS
2026-03-31,166418078872.27277,DIS
2026-06-30,166193614317.5,DIS
2019-09-30,15454532708.576813,LYV
2019-12-31,16649616106.724396,LYV
2020-03-31,10590338884.019203,LYV
2020-06-30,10327095283.211594,LYV
2020-09-30,12551858378.227596,LYV
2020-12-31,17117865209.429588,LYV
2021-03-31,19720022453.717995,LYV
2021-06-30,20404922189.826813,LYV
2021-09-30,21229599050.80761,LYV
2021-12-31,27882923722.19879,LYV
2022-03-31,27405356026.012802,LYV
2022-06-30,19237796349.461594,LYV
2022-09-30,17714240973.480797,LYV
2022-12-31,16246595381.044807,LYV
2023-03-31,16307165350.0,LYV
2023-06-30,21224940642.737198,LYV
2023-09-30,19344957508.480797,LYV
2023-12-31,21805009312.532005,LYV
2024-03-31,24640126061.82041,LYV
2024-06-30,21837623501.044807,LYV
2024-09-30,25506735704.794807,LYV
2024-12-31,30168255897.5,LYV
2025-03-31,30419852589.461594,LYV
2025-06-30,35242113632.025604,LYV
2025-09-30,38065581695.12802,LYV
2025-12-31,33196729462.5,LYV
2026-03-31,35528652827.86522,LYV
2026-06-30,42657215102.7372,LYV
2019-09-30,111435349987.5214,NFLX
2019-12-31,134732589615.59093,NFLX
2020-03-31,156355931656.96613,NFLX
2020-06-30,189475917751.5918,NFLX
2020-09-30,208209468757.06686,NFLX
2020-12-31,225156717851.82263,NFLX
2021-03-31,217216078663.09625,NFLX
2021-06-30,219943454067.94208,NFLX
2021-09-30,254141895836.93762,NFLX
2021-12-31,250852379680.69696,NFLX
2022-03-31,155977014798.40375,NFLX
2022-06-30,72814811081.03833,NFLX
2022-09-30,98035798336.74777,NFLX
2022-12-31,122786256787.4786,NFLX
2023-03-31,143855789324.25488,NFLX
2023-06-30,183417377898.61053,NFLX
2023-09-30,157230355176.72552,NFLX
2023-12-31,202733893801.4278,NFLX
2024-03-31,252888555458.61584,NFLX
2024-06-30,281015956533.3939,NFLX
2024-09-30,295335757532.3467,NFLX
2024-12-31,371140286958.32794,NFLX
2025-03-31,388299859744.0669,NFLX
2025-06-30,557605630450.6908,NFLX
2025-09-30,499223048518.88416,NFLX
2025-12-31,390410992916.8948,NFLX
2026-03-31,400362806201.06775,NFLX
2026-06-30,297305299220.06775,NFLX
2021-03-31,347841684500.0,PARA
2021-06-30,340455764000.0,PARA
2021-09-30,342214316500.0,PARA
2021-12-31,343269448000.0,PARA
2022-03-31,344676290000.0,PARA
2022-06-30,346083132000.0,PARA
2022-09-30,349248526500.0,PARA
2022-12-31,355931026000.0,PARA
2023-03-31,361558394000.0,PARA
2023-06-30,369999446000.0,PARA
2023-09-30,371757998500.0,PARA
2023-12-31,66121574000.0,PARA
2024-03-31,21489511550.0,PARA
2024-06-30,5979078500.0,PARA
2024-09-30,3496002370.0,PARA
2024-12-31,1076234130.0,PARA
2025-03-31,787831520.0,PARA
2025-06-30,414314979.73335266,PARA
2025-09-30,206805771.31666183,PARA
2025-12-31,67950467.52666473,PARA
2026-03-31,66895338.7100029,PARA
2026-06-30,10621657.032916546,PARA
