Date,MarketCap,Ticker
2019-09-30,22927087785.964622,BKR
2019-12-31,25328500921.938915,BKR
2020-03-31,10376483355.0,BKR
2020-06-30,15208960228.18408,BKR
2020-09-30,13133663180.201769,BKR
2020-12-31,20604731610.48231,BKR
2021-03-31,21355791584.271698,BKR
2021-06-30,22600969813.061085,BKR
2021-09-30,24439088439.921227,BKR
2021-12-31,23776969902.824764,BKR
2022-03-31,35981691178.307076,BKR
2022-06-30,28530388873.061085,BKR
2022-09-30,20713436344.842453,BKR
2022-12-31,29182624818.86816,BKR
2023-03-31,28520506281.771698,BKR
2023-06-30,31238156684.271698,BKR
2023-09-30,34904513231.61415,BKR
2023-12-31,33777924213.38585,BKR
2024-03-31,33105923085.0,BKR
2024-06-30,34756276247.184906,BKR
2024-09-30,35724751344.429245,BKR
2024-12-31,40537462092.57877,BKR
2025-03-31,43432995368.46462,BKR
2025-06-30,37888987944.192924,BKR
2025-09-30,48146883973.543396,BKR
2025-12-31,45004291570.15755,BKR
2019-09-30,15787786622.749338,HAL
2019-12-31,20494807427.051193,HAL
2020-03-31,5737206083.375166,HAL
2020-06-30,10871377134.700794,HAL
2020-09-30,10092457716.999668,HAL
2020-12-31,15829663401.000662,HAL
2021-03-31,17973786716.90159,HAL
2021-06-30,19364118439.298546,HAL
2021-09-30,18107795921.798546,HAL
2021-12-31,19154731353.048546,HAL
2022-03-31,31717954930.551853,HAL
2022-06-30,26265516610.39894,HAL
2022-09-30,20620440956.798546,HAL
2022-12-31,32957526097.752647,HAL
2023-03-31,26500029124.60106,HAL
2023-06-30,27630721307.347088,HAL
2023-09-30,33920707972.5,HAL
2023-12-31,30277373949.747353,HAL
2024-03-31,33016154226.303177,HAL
2024-06-30,28292382071.702118,HAL
2024-09-30,24330778783.251324,HAL
2024-12-31,22772939947.849075,HAL
2025-03-31,21248602215.548546,HAL
2025-06-30,17069234568.201456,HAL
2025-09-30,20603689606.499336,HAL
2025-12-31,23669116421.399605,HAL
2019-09-30,51293722044.00284,SLB
2019-12-31,60345559724.87382,SLB
2020-03-31,20250287846.437855,SLB
2020-06-30,27605840434.000946,SLB
2020-09-30,23357634746.7806,SLB
2020-12-31,32769739780.81262,SLB
2021-03-31,40815815174.311676,SLB
2021-06-30,48051274349.3776,SLB
2021-09-30,44493590036.500946,SLB
2021-12-31,44958943420.37382,SLB
2022-03-31,62011818601.87287,SLB
2022-06-30,53680524216.8776,SLB
2022-09-30,53890687688.747635,SLB
2022-12-31,80250584736.75142,SLB
2023-03-31,73705642641.25237,SLB
2023-06-30,73735665994.37665,SLB
2023-09-30,87516070128.12619,SLB
2023-12-31,78118978202.24858,SLB
2024-03-31,82277118124.87286,SLB
2024-06-30,70823469457.74953,SLB
2024-09-30,62972542996.37382,SLB
2024-12-31,57553450874.37476,SLB
2025-03-31,62747370711.12618,SLB
2025-06-30,50738304327.12618,SLB
2025-09-30,51593949848.876656,SLB
2025-12-31,57613497580.623344,SLB
