Date,MarketCap,Ticker
2019-09-30,49198588061.17708,EL
2019-12-31,51075527538.13957,EL
2020-03-31,39403382567.212494,EL
2020-06-30,46658906144.42499,EL
2020-09-30,53971309419.75,EL
2020-12-31,65826451254.10834,EL
2021-03-31,71924653718.89584,EL
2021-06-30,78658388891.27914,EL
2021-09-30,74170054703.17499,EL
2021-12-31,91547213773.29169,EL
2022-03-31,67342347658.57501,EL
2022-06-30,62977655308.60625,EL
2022-09-30,53390173536.35416,EL
2022-12-31,61355425489.464584,EL
2023-03-31,60947396480.86043,EL
2023-06-30,48563051580.216675,EL
2023-09-30,35745947039.32292,EL
2023-12-31,36166341363.75,EL
2024-03-31,38119940516.10416,EL
2024-06-30,26311786504.53646,EL
2024-09-30,24652462624.608337,EL
2024-12-31,18541896730.680214,EL
2025-03-31,16321220718.0,EL
2025-06-30,19981131573.07292,EL
2025-09-30,21791303249.96563,EL
2025-12-31,25896337174.42917,EL
2026-03-31,17748090244.569786,EL
2026-06-30,19523641301.17708,EL
2023-06-30,50746835144.68339,KVUE
2023-09-30,38569131070.81661,KVUE
2023-12-31,41354254063.400475,KVUE
2024-03-31,41219796843.29937,KVUE
2024-06-30,34919662216.23354,KVUE
2024-09-30,44427488679.73276,KVUE
2024-12-31,41008514253.16693,KVUE
2025-03-31,46060146859.39969,KVUE
2025-06-30,40201789250.48354,KVUE
2025-09-30,31174152490.149685,KVUE
2025-12-31,33133342305.75,KVUE
2026-03-31,33114134131.449844,KVUE
2026-06-30,36705982126.71709,KVUE
2019-09-30,289112977618.55396,PG
2019-12-31,290321692740.80334,PG
2020-03-31,255687636600.0,PG
2020-06-30,277932460274.83936,PG
2020-09-30,323072963777.89215,PG
2020-12-31,323421614549.67865,PG
2021-03-31,314797952291.1438,PG
2021-06-30,313635735761.1438,PG
2021-09-30,324955748881.60675,PG
2021-12-31,380230764210.96405,PG
2022-03-31,355173378661.60675,PG
2022-06-30,334230214091.46515,PG
2022-09-30,293459673825.0,PG
2022-12-31,352291068898.7146,PG
2023-03-31,345619957366.2854,PG
2023-06-30,352709485292.89215,PG
2023-09-30,339041807550.32135,PG
2023-12-31,340622405006.46515,PG
2024-03-31,377139263985.0,PG
2024-06-30,383345495999.03595,PG
2024-09-30,402591798898.39325,PG
2024-12-31,389691188321.7865,PG
2025-03-31,396129877829.03595,PG
2025-06-30,370328692143.8562,PG
2025-09-30,357149125481.7865,PG
2025-12-31,333114496153.7146,PG
2026-03-31,335741116861.2854,PG
2026-06-30,340854862499.67865,PG
