Date,MarketCap,Ticker
2019-09-30,103586058335.59888,BMY
2019-12-31,131121858755.73633,BMY
2020-03-31,113860918354.06873,BMY
2020-06-30,120111620214.3324,BMY
2020-09-30,123155268480.40112,BMY
2020-12-31,126709587618.13184,BMY
2021-03-31,128956578415.13464,BMY
2021-06-30,136494192690.53296,BMY
2021-09-30,120867422455.19775,BMY
2021-12-31,127363255684.6648,BMY
2022-03-31,149179448834.13184,BMY
2022-06-30,157289028512.0,BMY
2022-09-30,145216577414.3955,BMY
2022-12-31,146973313265.3296,BMY
2023-03-31,141580547820.26367,BMY
2023-06-30,130631603809.6676,BMY
2023-09-30,118559160504.40112,BMY
2023-12-31,104811691804.60168,BMY
2024-03-31,110776414859.79944,BMY
2024-06-30,84833937170.13184,BMY
2024-09-30,105690059730.06873,BMY
2024-12-31,115535943748.60168,BMY
2025-03-31,124585170298.06873,BMY
2025-06-30,94557263296.40112,BMY
2025-09-30,92126427868.6648,BMY
2025-12-31,110184025739.39832,BMY
2026-03-31,123890647003.3352,BMY
2026-06-30,117701216296.86536,BMY
2019-09-30,311792692246.943,JNJ
2019-12-31,351531896577.307,JNJ
2020-03-31,316010014791.693,JNJ
2020-06-30,338904051463.193,JNJ
2020-09-30,358785714888.443,JNJ
2020-12-31,379269852962.943,JNJ
2021-03-31,396066849125.8037,JNJ
2021-06-30,397006708107.74835,JNJ
2021-09-30,389198623415.5,JNJ
2021-12-31,412261370639.4145,JNJ
2022-03-31,427106318050.11237,JNJ
2022-06-30,427781086715.50165,JNJ
2022-09-30,393681036276.80536,JNJ
2022-12-31,425708572451.1963,JNJ
2023-03-31,373534282535.0,JNJ
2023-06-30,398886426071.63763,JNJ
2023-09-30,375341706482.75,JNJ
2023-12-31,377727519331.74835,JNJ
2024-03-31,381221864942.9715,JNJ
2024-06-30,352230787762.8323,JNJ
2024-09-30,390548160746.2785,JNJ
2024-12-31,348519523331.057,JNJ
2025-03-31,399657574501.1677,JNJ
2025-06-30,368112010691.75,JNJ
2025-09-30,446843393443.08386,JNJ
2025-12-31,498728507294.72314,JNJ
2026-03-31,589075618934.2214,JNJ
2026-06-30,612041949621.8607,JNJ
2019-09-30,99723443065.80728,LLY
2019-12-31,117201566459.27087,LLY
2020-03-31,123702368928.87152,LLY
2020-06-30,146406097505.77087,LLY
2020-09-30,131995566726.05032,LLY
2020-12-31,150561615723.38544,LLY
2021-03-31,166595136000.22913,LLY
2021-06-30,204672491315.05032,LLY
2021-09-30,206036854577.6788,LLY
2021-12-31,246316812253.87152,LLY
2022-03-31,255367982082.01392,LLY
2022-06-30,289129325864.3437,LLY
2022-09-30,288344589072.8576,LLY
2022-12-31,326234672705.38544,LLY
2023-03-31,306241845622.58673,LLY
2023-06-30,418208894382.8437,LLY
2023-09-30,478981065758.9861,LLY
2023-12-31,519813885145.7987,LLY
2024-03-31,693739163805.6874,LLY
2024-06-30,807364838518.4861,LLY
2024-09-30,790029383408.743,LLY
2024-12-31,688424365432.0,LLY
2025-03-31,736498120681.3265,LLY
2025-06-30,695139204344.4165,LLY
2025-09-30,680398692778.0,LLY
2025-12-31,958336702096.3469,LLY
2026-03-31,820197010413.4443,LLY
2026-06-30,1069581442494.8469,LLY
2019-09-30,198174142566.20447,MRK
2019-12-31,214111880858.66336,MRK
2020-03-31,181129949171.01645,MRK
2020-06-30,182048079900.59045,MRK
2020-09-30,195278521214.88544,MRK
2020-12-31,192571224236.7215,MRK
2021-03-31,181483069135.07346,MRK
2021-06-30,191871930005.12866,MRK
2021-09-30,185309263236.02206,MRK
2021-12-31,189084032830.47794,MRK
2022-03-31,202431440427.11032,MRK
2022-06-30,224932033718.9338,MRK
2022-09-30,212472828240.8493,MRK
2022-12-31,273732685706.88968,MRK
2023-03-31,262482389060.97794,MRK
2023-06-30,284686933802.9779,MRK
2023-09-30,253995312602.88968,MRK
2023-12-31,268971043692.62866,MRK
2024-03-31,325543290104.88965,MRK
2024-06-30,305435856313.61035,MRK
2024-09-30,280172005187.91174,MRK
2024-12-31,245434242830.37134,MRK
2025-03-31,221453331497.3272,MRK
2025-06-30,195301315899.1324,MRK
2025-09-30,207069716330.26105,MRK
2025-12-31,259694491886.3272,MRK
2026-03-31,296776078593.7831,MRK
2026-06-30,317031555483.0,MRK
2019-09-30,194297220617.45062,PFE
2019-12-31,211872120122.2529,PFE
2020-03-31,176506026431.62045,PFE
2020-06-30,176830479324.4269,PFE
2020-09-30,198461110652.52982,PFE
2020-12-31,209804992638.40054,PFE
2021-03-31,206499171520.3665,PFE
2021-06-30,223199216875.53882,PFE
2021-09-30,245142951496.17712,PFE
2021-12-31,336565721081.94415,PFE
2022-03-31,295072104311.6335,PFE
2022-06-30,298833888010.67236,PFE
2022-09-30,249417706687.92712,PFE
2022-12-31,292051284267.0729,PFE
2023-03-31,232546678082.69415,PFE
2023-06-30,209064028983.92233,PFE
2023-09-30,189058162510.71594,PFE
2023-12-31,164093607845.51703,PFE
2024-03-31,158165942094.75,PFE
2024-06-30,159476864411.1165,PFE
2024-09-30,164948556709.6141,PFE
2024-12-31,151212344229.82526,PFE
2025-03-31,144429729614.96118,PFE
2025-06-30,138160086492.80826,PFE
2025-09-30,145227680438.6165,PFE
2025-12-31,141921870191.84708,PFE
2026-03-31,160046833944.2694,PFE
2026-06-30,137248139588.26941,PFE
2019-09-30,22719128078.594757,VTRS
2019-12-31,23086676804.552643,VTRS
2020-03-31,17125489606.978943,VTRS
2020-06-30,18469341005.48947,VTRS
2020-09-30,17033602425.489471,VTRS
2020-12-31,21524592528.468414,VTRS
2021-03-31,16045814676.78685,VTRS
2021-06-30,16413363402.744736,VTRS
2021-09-30,15563406426.276321,VTRS
2021-12-31,15540434083.21315,VTRS
2022-03-31,12496668731.765793,VTRS
2022-06-30,12025746652.78685,VTRS
2022-09-30,9785994687.063171,VTRS
2022-12-31,12783816447.765793,VTRS
2023-03-31,11049443980.234207,VTRS
2023-06-30,11462936296.936829,VTRS
2023-09-30,11325105524.702621,VTRS
2023-12-31,12439238969.489471,VTRS
2024-03-31,13714174434.192093,VTRS
2024-06-30,12209521015.765793,VTRS
2024-09-30,13335139536.702621,VTRS
2024-12-31,14299956037.723679,VTRS
2025-03-31,10004226469.255264,VTRS
2025-06-30,10256916766.042114,VTRS
2025-09-30,11371049115.447357,VTRS
2025-12-31,14299956037.723679,VTRS
2026-03-31,15517462835.531586,VTRS
2026-06-30,18239623051.765793,VTRS
2019-09-30,51483527059.90997,ZTS
2019-12-31,54690146246.81671,ZTS
2020-03-31,48632286728.226685,ZTS
2020-06-30,56628159643.75162,ZTS
2020-09-30,68334785045.04663,ZTS
2020-12-31,68388506131.0,ZTS
2021-03-31,65074451077.4783,ZTS
2021-06-30,77008350720.93167,ZTS
2021-09-30,80223229840.06833,ZTS
2021-12-31,100838955091.63666,ZTS
2022-03-31,77929837587.90997,ZTS
2022-06-30,71029004695.56833,ZTS
2022-09-30,61276925166.25162,ZTS
2022-12-31,60557920134.158356,ZTS
2023-03-31,68776937325.72668,ZTS
2023-06-30,71161239274.74838,ZTS
2023-09-30,71892640510.4783,ZTS
2023-12-31,81557940309.04663,ZTS
2024-03-31,69921568468.74838,ZTS
2024-06-30,71636443894.93167,ZTS
2024-09-30,80735629376.45337,ZTS
2024-12-31,67326518447.31995,ZTS
2025-03-31,68037263547.18329,ZTS
2025-06-30,64442219470.841644,ZTS
2025-09-30,60462880471.18005,ZTS
2025-12-31,51991793477.534164,ZTS
2026-03-31,48847161614.10249,ZTS
2026-06-30,29694248291.93167,ZTS
