Date,MarketCap,Ticker
2019-09-30,39600513616.6336,AMAT
2019-12-31,48441188647.28016,AMAT
2020-03-31,36362634596.07328,AMAT
2020-06-30,47972966034.8168,AMAT
2020-09-30,47179368591.8168,AMAT
2020-12-31,68487461752.7672,AMAT
2021-03-31,106024623228.5344,AMAT
2021-06-30,113008271039.4656,AMAT
2021-09-30,102159795446.77592,AMAT
2021-12-31,124880494114.85344,AMAT
2022-03-31,104596145409.2672,AMAT
2022-06-30,72201498028.19391,AMAT
2022-09-30,65019438747.17672,AMAT
2022-12-31,77280516819.65952,AMAT
2023-03-31,97477575376.81032,AMAT
2023-06-30,114706569083.11217,AMAT
2023-09-30,109873563561.4828,AMAT
2023-12-31,128618343399.49127,AMAT
2024-03-31,163663597279.27594,AMAT
2024-06-30,187281064932.93097,AMAT
2024-09-30,160346365780.0172,AMAT
2024-12-31,129062756030.07751,AMAT
2025-03-31,115166857053.17249,AMAT
2025-06-30,145283889702.49127,AMAT
2025-09-30,162481144839.18097,AMAT
2025-12-31,203946599126.59497,AMAT
2026-03-31,271243676824.19815,AMAT
2026-06-30,573770951289.0,AMAT
2019-09-30,2937575464.5489807,ENPH
2019-12-31,3452939541.339798,ENPH
2020-03-31,4266950804.9020386,ENPH
2020-06-30,6286120865.032654,ENPH
2020-09-30,10913825994.391846,ENPH
2020-12-31,23187421545.869385,ENPH
2021-03-31,21428576603.608154,ENPH
2021-06-30,24265722357.47754,ENPH
2021-09-30,19817733021.869385,ENPH
2021-12-31,24174542227.73877,ENPH
2022-03-31,26664146912.130615,ENPH
2022-06-30,25799921801.41223,ENPH
2022-09-30,36666175641.869385,ENPH
2022-12-31,35013044804.91431,ENPH
2023-03-31,27787376420.130615,ENPH
2023-06-30,22131585082.457153,ENPH
2023-09-30,15877179658.836731,ENPH
2023-12-31,17461593706.065308,ENPH
2024-03-31,15986859958.640808,ENPH
2024-06-30,13176142731.097961,ENPH
2024-09-30,14934987673.359192,ENPH
2024-12-31,9075694464.967346,ENPH
2025-03-31,8199575307.5816345,ENPH
2025-06-30,5239535494.836731,ENPH
2025-09-30,4676599012.065308,ENPH
2025-12-31,4235235867.5816345,ENPH
2026-03-31,4996389322.353058,ENPH
2026-06-30,6506802689.320404,ENPH
2019-09-30,20832888056.208565,KLAC
2019-12-31,23278743295.067093,KLAC
2020-03-31,18780302930.529472,KLAC
2020-06-30,25409721775.975037,KLAC
2020-09-30,25313038091.549583,KLAC
2020-12-31,33827803735.53277,KLAC
2021-03-31,43168306906.499306,KLAC
2021-06-30,42359555125.65724,KLAC
2021-09-30,43705296717.2415,KLAC
2021-12-31,56195885756.99046,KLAC
2022-03-31,47827450222.70076,KLAC
2022-06-30,41689295988.015945,KLAC
2022-09-30,39540025931.8913,KLAC
2022-12-31,49260732203.142334,KLAC
2023-03-31,52153427697.77514,KLAC
2023-06-30,63370130633.65083,KLAC
2023-09-30,59926076224.365814,KLAC
2023-12-31,75949565891.33252,KLAC
2024-03-31,91271441570.60663,KLAC
2024-06-30,107726084100.16107,KLAC
2024-09-30,101180291894.40689,KLAC
2024-12-31,82328127246.06589,KLAC
2025-03-31,88819054694.33078,KLAC
2025-06-30,117032618270.88522,KLAC
2025-09-30,140924136811.8329,KLAC
2025-12-31,158755890735.26422,KLAC
2026-03-31,192377251366.91037,KLAC
2026-06-30,394198218734.58984,KLAC
2019-09-30,28919279707.374573,LRCX
2019-12-31,36588625753.59535,LRCX
2020-03-31,30031704000.0,LRCX
2020-06-30,40475229906.1203,LRCX
2020-09-30,41512573220.31784,LRCX
2020-12-31,59096138356.30417,LRCX
2021-03-31,74483629027.32468,LRCX
2021-06-30,81423457088.12714,LRCX
2021-09-30,71218935860.61859,LRCX
2021-12-31,89988750860.61859,LRCX
2022-03-31,67272270266.73889,LRCX
2022-06-30,53325046515.30075,LRCX
2022-09-30,45798346690.63568,LRCX
2022-12-31,52593020102.508545,LRCX
2023-03-31,66335030150.36774,LRCX
2023-06-30,80442425701.10321,LRCX
2023-09-30,78429043987.57553,LRCX
2023-12-31,98010964139.9002,LRCX
2024-03-31,121574591494.76624,LRCX
2024-06-30,133246917448.74573,LRCX
2024-09-30,102117806306.48804,LRCX
2024-12-31,90382920030.6015,LRCX
2025-03-31,90971032881.27136,LRCX
2025-06-30,121803581557.52563,LRCX
2025-09-30,167551874262.54272,LRCX
2025-12-31,214201119615.05127,LRCX
2026-03-31,267357249442.47437,LRCX
2026-06-30,542234912127.594,LRCX
2019-09-30,9053692808.644295,TER
2019-12-31,10660876124.191284,TER
2020-03-31,8468978141.231537,TER
2020-06-30,13212357116.479874,TER
2020-09-30,12422835851.865768,TER
2020-12-31,18743692422.07718,TER
2021-03-31,19023542507.71141,TER
2021-06-30,20943407919.65103,TER
2021-09-30,17067719391.231537,TER
2021-12-31,25566402656.654358,TER
2022-03-31,18484167397.325516,TER
2022-06-30,14000314639.614105,TER
2022-09-30,11749007601.057053,TER
2022-12-31,13656364273.942947,TER
2023-03-31,16808194366.479874,TER
2023-06-30,17405415983.768463,TER
2023-09-30,15705991601.865768,TER
2023-12-31,16966097665.174484,TER
2024-03-31,17639927108.768463,TER
2024-06-30,23183768767.84897,TER
2024-09-30,20938715502.426147,TER
2024-12-31,19686426953.731537,TER
2025-03-31,12913745711.442947,TER
2025-06-30,14058159953.731537,TER
2025-09-30,21518740734.57718,TER
2025-12-31,30261315188.308716,TER
2026-03-31,46348777409.080505,TER
2026-06-30,75643907907.46307,TER
