Date,MarketCap,Ticker
2019-09-30,8195495988.501549,ALB
2019-12-31,8610458334.408669,ALB
2020-03-31,6645283694.27322,ALB
2020-06-30,9102046437.341331,ALB
2020-09-30,10524941127.455109,ALB
2020-12-31,17390674073.90712,ALB
2021-03-31,17224453131.522446,ALB
2021-06-30,19859225775.496902,ALB
2021-09-30,25813691790.29489,ALB
2021-12-31,27558418077.65712,ALB
2022-03-31,26070684340.525543,ALB
2022-06-30,24636001141.59288,ALB
2022-09-30,31174008686.089783,ALB
2022-12-31,25564950386.772446,ALB
2023-03-31,26057716711.003098,ALB
2023-06-30,26299385189.115326,ALB
2023-09-30,20045485474.003098,ALB
2023-12-31,17032296930.09288,ALB
2024-03-31,15530419140.952011,ALB
2024-06-30,11260555050.501549,ALB
2024-09-30,11165066959.841331,ALB
2024-12-31,10147703448.817337,ALB
2025-03-31,8490213206.001549,ALB
2025-06-30,7387970992.432663,ALB
2025-09-30,9558269013.817337,ALB
2025-12-31,16673921585.089783,ALB
2019-09-30,13687034178.288345,CE
2019-12-31,13779930272.365036,CE
2020-03-31,8214011141.30777,CE
2020-06-30,9663410515.846619,CE
2020-09-30,12026100005.538849,CE
2020-12-31,14543243447.76892,CE
2021-03-31,16767148102.73108,CE
2021-06-30,16967490795.922302,CE
2021-09-30,16860044196.80777,CE
2021-12-31,18809738436.23108,CE
2022-03-31,15990403888.962158,CE
2022-06-30,13163235636.69223,CE
2022-09-30,10111101547.846619,CE
2022-12-31,11442982538.827194,CE
2023-03-31,12187269050.30777,CE
2023-06-30,12960655717.961151,CE
2023-09-30,14048544208.442734,CE
2023-12-31,17389438363.96216,CE
2024-03-31,19235045258.19223,CE
2024-06-30,15097260758.30777,CE
2024-09-30,15217018929.114532,CE
2024-12-31,7746173978.711655,CE
2025-03-31,6353855022.894173,CE
2025-06-30,6192686405.076691,CE
2025-09-30,4709709861.576691,CE
2025-12-31,4732094071.61554,CE
2019-09-30,12200987761.35742,DD
2019-12-31,10984482028.610125,DD
2020-03-31,5834436532.682302,DD
2020-06-30,9090428631.303246,DD
2020-09-30,9492508336.14799,DD
2020-12-31,12166767780.541498,DD
2021-03-31,13222441787.342968,DD
2021-06-30,13244684696.877281,DD
2021-09-30,11632942631.480139,DD
2021-12-31,13821284431.978363,DD
2022-03-31,12589379941.85201,DD
2022-06-30,9509618326.55595,DD
2022-09-30,8623331430.884466,DD
2022-12-31,11742445166.162441,DD
2023-03-31,12279692781.281609,DD
2023-06-30,12223229890.931374,DD
2023-09-30,12762188739.079445,DD
2023-12-31,13162557990.855644,DD
2024-03-31,13118072171.787018,DD
2024-06-30,13771664913.823025,DD
2024-09-30,15246529395.837559,DD
2024-12-31,13046211304.018085,DD
2025-03-31,12777587496.458502,DD
2025-06-30,11735601793.967545,DD
2025-09-30,13328522635.927822,DD
2025-12-31,16438739363.384144,DD
2019-09-30,55931201118.56433,ECL
2019-12-31,54504964537.72009,ECL
2020-03-31,44010096284.573364,ECL
2020-06-30,56188207781.71106,ECL
2020-09-30,56439564762.85327,ECL
2020-12-31,61105206616.85779,ECL
2021-03-31,60458458084.29346,ECL
2021-06-30,58170823839.715576,ECL
2021-09-30,58919245101.137695,ECL
2021-12-31,66253790700.85327,ECL
2022-03-31,49864739788.56885,ECL
2022-06-30,43425477016.27991,ECL
2022-09-30,40787640057.426636,ECL
2022-12-31,41109602980.56885,ECL
2023-03-31,46749605972.284424,ECL
2023-06-30,52725693937.43115,ECL
2023-09-30,47842584575.42212,ECL
2023-12-31,56018756106.57788,ECL
2024-03-31,65211646307.42212,ECL
2024-06-30,67216856784.0,ECL
2024-09-30,72111261200.57336,ECL
2024-12-31,66177539386.29346,ECL
2025-03-31,71600074870.00452,ECL
2025-06-30,76096260739.43115,ECL
2025-09-30,77344568967.41309,ECL
2025-12-31,74141884472.55981,ECL
2019-09-30,8442454138.510941,EMN
2019-12-31,9063374190.137764,EMN
2020-03-31,5326419063.760941,EMN
2020-06-30,7963327732.246353,EMN
2020-09-30,8933015361.39141,EMN
2020-12-31,11467008935.492706,EMN
2021-03-31,12592212513.39141,EMN
2021-06-30,13350352109.25,EMN
2021-09-30,11519609789.862236,EMN
2021-12-31,13826048157.771881,EMN
2022-03-31,12814050747.485413,EMN
2022-06-30,10265191126.604942,EMN
2022-09-30,8124561525.518234,EMN
2022-12-31,9312657031.014587,EMN
2023-03-31,9644271074.978119,EMN
2023-06-30,9573374688.507294,EMN
2023-09-30,8772925311.507294,EMN
2023-12-31,10270908971.123177,EMN
