Date,MarketCap,Ticker
2019-09-30,103037747689.43555,AMT
2019-12-31,107086941644.15332,AMT
2020-03-31,101462800452.0,AMT
2020-06-30,120469314791.5122,AMT
2020-09-30,112636520412.2439,AMT
2020-12-31,104589395502.47388,AMT
2021-03-31,111392407937.28223,AMT
2021-06-30,125874454192.30664,AMT
2021-09-30,123670458046.07666,AMT
2021-12-31,136293314040.0,AMT
2022-03-31,117058483827.35889,AMT
2022-06-30,119094726961.92334,AMT
2022-09-30,100041620883.60278,AMT
2022-12-31,98718296053.67944,AMT
2023-03-31,95214274501.92334,AMT
2023-06-30,90368292846.71777,AMT
2023-09-30,76627128471.60278,AMT
2023-12-31,100591457437.43555,AMT
2024-03-31,92069044177.92334,AMT
2024-06-30,90573316405.43555,AMT
2024-09-30,108363667625.28223,AMT
2024-12-31,85461734110.07666,AMT
2025-03-31,101392909288.79443,AMT
2025-06-30,102986491799.7561,AMT
2025-09-30,89613439844.15332,AMT
2025-12-31,81808609040.15332,AMT
2026-03-31,80415385937.03833,AMT
2026-06-30,76217088464.15332,AMT
2019-09-30,60747367599.487305,CCI
2019-12-31,62119547332.76367,CCI
2020-03-31,63102797332.76367,CCI
2020-06-30,73131952667.23633,CCI
2020-09-30,72760500000.0,CCI
2020-12-31,69566031066.89453,CCI
2021-03-31,75220812133.78906,CCI
2021-06-30,85258702667.23633,CCI
2021-09-30,75740843200.6836,CCI
2021-12-31,91219382400.5127,CCI
2022-03-31,80670202667.23633,CCI
2022-06-30,73582062133.78906,CCI
2022-09-30,63168351333.618164,CCI
2022-12-31,59274679733.27637,CCI
2023-03-31,58488078399.6582,CCI
2023-06-30,49791781066.89453,CCI
2023-09-30,40217109466.552734,CCI
2023-12-31,50338031066.89453,CCI
2024-03-31,46247710800.1709,CCI
2024-06-30,42694898666.381836,CCI
2024-09-30,51841308799.74365,CCI
2024-12-31,39662120933.532715,CCI
2025-03-31,45548511466.97998,CCI
2025-06-30,44893011466.97998,CCI
2025-09-30,42166129066.467285,CCI
2025-12-31,38836191200.25635,CCI
2026-03-31,35532468933.10547,CCI
2026-06-30,33094011466.97998,CCI
2019-09-30,25583147078.989563,SBAC
2019-12-31,25566174211.659393,SBAC
2020-03-31,28640607186.202087,SBAC
2020-06-30,31605771155.72296,SBAC
2020-09-30,33786942438.318787,SBAC
2020-12-31,29930638992.30835,SBAC
2021-03-31,29444753635.479126,SBAC
2021-06-30,33810281952.020874,SBAC
2021-09-30,35069547299.712524,SBAC
2021-12-31,41270395386.68121,SBAC
2022-03-31,36504919298.51044,SBAC
2022-06-30,33953498310.479126,SBAC
2022-09-30,30197979863.989563,SBAC
2022-12-31,29737557855.095825,SBAC
2023-03-31,27696423654.712524,SBAC
2023-06-30,24586979790.840607,SBAC
2023-09-30,21235656784.44687,SBAC
2023-12-31,26913492884.904175,SBAC
2024-03-31,22989293113.24478,SBAC
2024-06-30,20825096316.75522,SBAC
2024-09-30,25535407753.24478,SBAC
2024-12-31,21620757141.75522,SBAC
2025-03-31,23340444498.340607,SBAC
2025-06-30,24913731363.893738,SBAC
2025-09-30,20512136716.010437,SBAC
2025-12-31,20520622340.287476,SBAC
2026-03-31,18258824676.851044,SBAC
2026-06-30,18720308602.86148,SBAC
