date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,158057000000.0,F,,
2023-12-31,4,2023,176191000000.0,F,,11.47307616872395
2024-12-31,4,2024,184992000000.0,F,,4.995147311724213
2025-12-31,4,2025,187267000000.0,F,,1.2297829095312185
2022-12-31,4,2022,156735000000.0,GM,,
2023-12-31,4,2023,171842000000.0,GM,,9.63856190385044
2024-12-31,4,2024,187442000000.0,GM,,9.078106632837146
2025-12-31,4,2025,185019000000.0,GM,,-1.292666531513753
2022-12-31,4,2022,81462000000.0,TSLA,,
2023-12-31,4,2023,96773000000.0,TSLA,,18.79526650462793
2024-12-31,4,2024,97690000000.0,TSLA,,0.9475783534663496
2025-12-31,4,2025,94827000000.0,TSLA,,-2.930699150373628
