Date,Revenue,Ticker,company_name
2025-06-30,3287000000.0,FOX,FOX
2025-09-30,3738000000.0,FOX,FOX
2025-12-31,5182000000.0,FOX,FOX
2026-03-31,3994000000.0,FOX,FOX
2026-06-30,4212000000.0,FOX,FOX
2025-06-30,3287000000.0,FOXA,FOXA
2025-09-30,3738000000.0,FOXA,FOXA
2025-12-31,5182000000.0,FOXA,FOXA
2026-03-31,3994000000.0,FOXA,FOXA
2026-06-30,4212000000.0,FOXA,FOXA
2025-06-30,9812000000.0,WBD,WBD
2025-09-30,9045000000.0,WBD,WBD
2025-12-31,9460000000.0,WBD,WBD
2026-03-31,8893000000.0,WBD,WBD
2026-06-30,8717000000.0,WBD,WBD
