date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,94950000000.0,BAC,,
2023-12-31,4,2023,102769000000.0,BAC,,8.234860452869942
2024-12-31,4,2024,105856000000.0,BAC,,3.0038241103834906
2025-12-31,4,2025,113097000000.0,BAC,,6.840424727932293
2022-12-31,4,2022,74480000000.0,C,,
2023-12-31,4,2023,78090000000.0,C,,4.846938775510212
2024-12-31,4,2024,80672000000.0,C,,3.3064412856959935
2025-12-31,4,2025,85213000000.0,C,,5.628966679888925
2022-12-31,4,2022,127727000000.0,JPM,,
2023-12-31,4,2023,154952000000.0,JPM,,21.314992131655796
2024-12-31,4,2024,169439000000.0,JPM,,9.349346894522181
2025-12-31,4,2025,181847000000.0,JPM,,7.322989394413337
2022-12-31,4,2022,21114000000.0,PNC,,
2023-12-31,4,2023,21509000000.0,PNC,,1.8707966278298738
2024-12-31,4,2024,20809000000.0,PNC,,-3.2544516249012
2025-12-31,4,2025,23077000000.0,PNC,,10.899130184054972
2022-12-31,4,2022,19973000000.0,TFC,,
2023-12-31,4,2023,20022000000.0,TFC,,0.2453311971161165
2024-12-31,4,2024,13278000000.0,TFC,,-33.68294875636799
2025-12-31,4,2025,20319000000.0,TFC,,53.02756439222775
2022-12-31,4,2022,24184000000.0,USB,,
2023-12-31,4,2023,28013000000.0,USB,,15.832782004631163
2024-12-31,4,2024,27335000000.0,USB,,-2.4203048584585773
2025-12-31,4,2025,28540000000.0,USB,,4.40826778854948
2022-12-31,4,2022,74368000000.0,WFC,,
2023-12-31,4,2023,82597000000.0,WFC,,11.065243115318424
2024-12-31,4,2024,82296000000.0,WFC,,-0.36442001525479606
2025-12-31,4,2025,83699000000.0,WFC,,1.7048216195197918
