date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,180031000000.0,CI,,
2023-12-31,4,2023,195187000000.0,CI,,8.418550138587232
2024-12-31,4,2024,244384000000.0,CI,,25.205059763201444
2025-12-31,4,2025,274876000000.0,CI,,12.477085242896436
2022-12-31,4,2022,322467000000.0,CVS,,
2023-12-31,4,2023,357776000000.0,CVS,,10.949647560835674
2024-12-31,4,2024,372809000000.0,CVS,,4.20179106480032
2025-12-31,4,2025,402067000000.0,CVS,,7.847986502471782
2022-12-31,4,2022,9883000000.0,DGX,,
2023-12-31,4,2023,9252000000.0,DGX,,-6.384701001720128
2024-12-31,4,2024,9872000000.0,DGX,,6.701253782965844
2025-12-31,4,2025,11035000000.0,DGX,,11.780794165316056
2022-12-31,4,2022,11609894000.0,DVA,,
2023-12-31,4,2023,12140147000.0,DVA,,4.567251001602601
2024-12-31,4,2024,12815550000.0,DVA,,5.5633840348061625
2025-12-31,4,2025,13643069000.0,DVA,,6.4571477618986295
2022-12-31,4,2022,11863900000.0,LH,,
2023-12-31,4,2023,12161600000.0,LH,,2.5092928969394634
2024-12-31,4,2024,13008900000.0,LH,,6.967010919615846
2025-12-31,4,2025,13951700000.0,LH,,7.247346047705805
