Date,Revenue,Ticker,company_name
2025-06-30,3222000000.0,AJG,AJG
2025-09-30,3365600000.0,AJG,AJG
2025-12-31,3628200000.0,AJG,AJG
2026-03-31,4758000000.0,AJG,AJG
2026-06-30,4003000000.0,AJG,AJG
2025-06-30,4155000000.0,AON,AON
2025-09-30,3997000000.0,AON,AON
2025-12-31,4300000000.0,AON,AON
2026-03-31,5034000000.0,AON,AON
2026-06-30,4246000000.0,AON,AON
2025-06-30,1249000000.0,BRO,BRO
2025-09-30,1550000000.0,BRO,BRO
2025-12-31,1580000000.0,BRO,BRO
2026-03-31,1880000000.0,BRO,BRO
2026-06-30,1654000000.0,BRO,BRO
2025-06-30,1292446000.0,ERIE,ERIE
2025-09-30,1304077000.0,ERIE,ERIE
2025-12-31,333526000.0,ERIE,ERIE
2026-03-31,1233805000.0,ERIE,ERIE
2026-06-30,1314162000.0,ERIE,ERIE
2025-06-30,2261000000.0,WTW,WTW
2025-09-30,2288000000.0,WTW,WTW
2025-12-31,2936000000.0,WTW,WTW
2026-03-31,2412000000.0,WTW,WTW
2026-06-30,2466000000.0,WTW,WTW
