Date,Revenue,Ticker,company_name
2025-03-31,15062000000.0,GS,GS
2025-06-30,14583000000.0,GS,GS
2025-09-30,15184000000.0,GS,GS
2025-12-31,13454000000.0,GS,GS
2026-03-31,17227000000.0,GS,GS
2025-06-30,15604000000.0,MS,MS
2025-09-30,17083000000.0,MS,MS
2025-12-31,16762000000.0,MS,MS
2026-03-31,19324000000.0,MS,MS
2026-06-30,19884000000.0,MS,MS
2025-06-30,3342000000.0,RJF,RJF
2025-09-30,3667000000.0,RJF,RJF
2025-12-31,3672000000.0,RJF,RJF
2026-03-31,3796000000.0,RJF,RJF
2026-06-30,3865000000.0,RJF,RJF
2025-06-30,5851000000.0,SCHW,SCHW
2025-09-30,6135000000.0,SCHW,SCHW
2025-12-31,6336000000.0,SCHW,SCHW
2026-03-31,6482000000.0,SCHW,SCHW
2026-06-30,7072000000.0,SCHW,SCHW
