date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,19151000000.0,AFL,,
2023-12-31,4,2023,18841000000.0,AFL,,-1.618714427445045
2024-12-31,4,2024,19128000000.0,AFL,,1.5232737115864259
2025-12-31,4,2025,17355000000.0,AFL,,-9.269134253450439
2022-12-31,4,2022,5226740000.0,GL,,
2023-12-31,4,2023,5447533000.0,GL,,4.224296597879373
2024-12-31,4,2024,5778069000.0,GL,,6.067627309462842
2025-12-31,4,2025,5994318000.0,GL,,3.742582513292936
2022-12-31,4,2022,67409000000.0,MET,,
2023-12-31,4,2023,67934000000.0,MET,,0.7788277529706678
2024-12-31,4,2024,70131000000.0,MET,,3.234021255924868
2025-12-31,4,2025,75654000000.0,MET,,7.875262009667616
2022-12-31,4,2022,17536100000.0,PFG,,
2023-12-31,4,2023,13665800000.0,PFG,,-22.070471769663726
2024-12-31,4,2024,16127700000.0,PFG,,18.015044856503092
2025-12-31,4,2025,15625500000.0,PFG,,-3.1138972079093774
2022-12-31,4,2022,56986000000.0,PRU,,
2023-12-31,4,2023,54265000000.0,PRU,,-4.774856982416731
2024-12-31,4,2024,70675000000.0,PRU,,30.240486501428187
2025-12-31,4,2025,60967000000.0,PRU,,-13.736116024053768
