date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,2593446000.0,AVB,,
2023-12-31,4,2023,2767909000.0,AVB,,6.7270727826991505
2024-12-31,4,2024,2913757000.0,AVB,,5.26924837485625
2025-12-31,4,2025,3040725000.0,AVB,,4.357535648992017
2022-12-31,4,2022,1422756000.0,CPT,,
2023-12-31,4,2023,1542027000.0,CPT,,8.383095906817474
2024-12-31,4,2024,1543842000.0,CPT,,0.11770221922184909
2025-12-31,4,2025,1573544000.0,CPT,,1.9239015391471437
2022-12-31,4,2022,2735180000.0,EQR,,
2023-12-31,4,2023,2873964000.0,EQR,,5.074035346851025
2024-12-31,4,2024,2980108000.0,EQR,,3.6932960886079336
2025-12-31,4,2025,3093959000.0,EQR,,3.820364899527129
2022-12-31,4,2022,1606814000.0,ESS,,
2023-12-31,4,2023,1669395000.0,ESS,,3.8947258363444703
2024-12-31,4,2024,1774450000.0,ESS,,6.292998361681934
2025-12-31,4,2025,1887345000.0,ESS,,6.3622530925075305
2022-12-31,4,2022,2019866000.0,MAA,,
2023-12-31,4,2023,2148468000.0,MAA,,6.36685799949106
2024-12-31,4,2024,2191015000.0,MAA,,1.9803413408996606
2025-12-31,4,2025,2209126000.0,MAA,,0.826603195322706
2022-12-31,4,2022,1517386000.0,UDR,,
2023-12-31,4,2023,1627501000.0,UDR,,7.256887832100722
2024-12-31,4,2024,1671842000.0,UDR,,2.7244837330361094
2025-12-31,4,2025,1712317000.0,UDR,,2.4209823655584772
