date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-05-31,4,2022,11535900000.0,CAG,,
2023-05-31,4,2023,12277000000.0,CAG,,6.424292859681513
2024-05-31,4,2024,12050900000.0,CAG,,-1.84165512747414
2025-05-31,4,2025,11612800000.0,CAG,,-3.635413122671338
2022-07-31,4,2022,8562000000.0,CPB,,
2023-07-31,4,2023,9357000000.0,CPB,,9.285213735108622
2024-07-31,4,2024,9636000000.0,CPB,,2.9817249118307076
2025-07-31,4,2025,10253000000.0,CPB,,6.403071814030725
2022-05-31,4,2022,18992800000.0,GIS,,
2023-05-31,4,2023,20094200000.0,GIS,,5.799039636072623
2024-05-31,4,2024,19857200000.0,GIS,,-1.1794448149217152
2025-05-31,4,2025,19486600000.0,GIS,,-1.8663255645307464
2022-10-31,4,2022,12458806000.0,HRL,,
2023-10-31,4,2023,12110010000.0,HRL,,-2.799594118409099
2024-10-31,4,2024,11920797000.0,HRL,,-1.5624512283639702
2025-10-31,4,2025,12106160000.0,HRL,,1.5549547568002309
2022-12-31,4,2022,10419294000.0,HSY,,
2023-12-31,4,2023,11164992000.0,HSY,,7.156895659149276
2024-12-31,4,2024,11202263000.0,HSY,,0.33382021232080117
2025-12-31,4,2025,11692576000.0,HSY,,4.376910272504753
2022-12-31,4,2022,26485000000.0,KHC,,
2023-12-31,4,2023,26640000000.0,KHC,,0.5852369265622048
2024-12-31,4,2024,25846000000.0,KHC,,-2.980480480480485
2025-12-31,4,2025,24942000000.0,KHC,,-3.4976398669039677
2022-05-31,4,2022,4098900000.0,LW,,
2023-05-31,4,2023,5350600000.0,LW,,30.537461270096866
2024-05-31,4,2024,6467600000.0,LW,,20.876163420924755
2025-05-31,4,2025,6451300000.0,LW,,-0.252025480858431
2022-12-31,4,2022,31496000000.0,MDLZ,,
2023-12-31,4,2023,36016000000.0,MDLZ,,14.3510287020574
2024-12-31,4,2024,36441000000.0,MDLZ,,1.1800310972901018
2025-12-31,4,2025,38537000000.0,MDLZ,,5.751763123953779
2022-11-30,4,2022,6350500000.0,MKC,,
2023-11-30,4,2023,6662200000.0,MKC,,4.908274938981183
2024-11-30,4,2024,6723700000.0,MKC,,0.9231184893878863
2025-11-30,4,2025,6840300000.0,MKC,,1.7341642250546574
2022-04-30,4,2022,7998900000.0,SJM,,
2023-04-30,4,2023,8529200000.0,SJM,,6.62966157846705
2024-04-30,4,2024,8178700000.0,SJM,,-4.109412371617505
2025-04-30,4,2025,8726100000.0,SJM,,6.692995219289122
2022-09-30,4,2022,53282000000.0,TSN,,
2023-09-30,4,2023,52881000000.0,TSN,,-0.7525993769002648
2024-09-30,4,2024,53309000000.0,TSN,,0.8093644220041218
2025-09-30,4,2025,54441000000.0,TSN,,2.1234688326549067
