Date,Revenue,Ticker,company_name
2025-04-30,2640068000.0,ADI,ADI
2025-07-31,2880348000.0,ADI,ADI
2025-10-31,3076117000.0,ADI,ADI
2026-01-31,3160263000.0,ADI,ADI
2026-04-30,3623465000.0,ADI,ADI
2025-06-30,7685000000.0,AMD,AMD
2025-09-30,9246000000.0,AMD,AMD
2025-12-31,10270000000.0,AMD,AMD
2026-03-31,10253000000.0,AMD,AMD
2026-06-30,11536000000.0,AMD,AMD
2025-04-30,15004000000.0,AVGO,AVGO
2025-07-31,15952000000.0,AVGO,AVGO
2025-10-31,18015000000.0,AVGO,AVGO
2026-01-31,19311000000.0,AVGO,AVGO
2026-04-30,22187000000.0,AVGO,AVGO
2025-06-30,1097170000.0,FSLR,FSLR
2025-09-30,1594856000.0,FSLR,FSLR
2025-12-31,1682782000.0,FSLR,FSLR
2026-03-31,1044240000.0,FSLR,FSLR
2026-06-30,1056193000.0,FSLR,FSLR
2025-06-30,12859000000.0,INTC,INTC
2025-09-30,13653000000.0,INTC,INTC
2025-12-31,13674000000.0,INTC,INTC
2026-03-31,13577000000.0,INTC,INTC
2026-06-30,16128000000.0,INTC,INTC
2025-06-30,1075500000.0,MCHP,MCHP
2025-09-30,1140400000.0,MCHP,MCHP
2025-12-31,1186000000.0,MCHP,MCHP
2026-03-31,1311200000.0,MCHP,MCHP
2026-06-30,1484700000.0,MCHP,MCHP
2025-06-30,664574000.0,MPWR,MPWR
2025-09-30,737176000.0,MPWR,MPWR
2025-12-31,751155000.0,MPWR,MPWR
2026-03-31,804185000.0,MPWR,MPWR
2026-06-30,980642000.0,MPWR,MPWR
2025-05-31,9301000000.0,MU,MU
2025-08-31,11315000000.0,MU,MU
2025-11-30,13643000000.0,MU,MU
2026-02-28,23860000000.0,MU,MU
2026-05-31,41456000000.0,MU,MU
2025-04-30,44062000000.0,NVDA,NVDA
2025-07-31,46743000000.0,NVDA,NVDA
2025-10-31,57006000000.0,NVDA,NVDA
2026-01-31,68127000000.0,NVDA,NVDA
2026-04-30,81615000000.0,NVDA,NVDA
2025-06-30,2926000000.0,NXPI,NXPI
2025-09-30,3173000000.0,NXPI,NXPI
2025-12-31,3335000000.0,NXPI,NXPI
2026-03-31,3181000000.0,NXPI,NXPI
2026-06-30,3496000000.0,NXPI,NXPI
2025-06-30,1468700000.0,ON,ON
2025-09-30,1550900000.0,ON,ON
2025-12-31,1530100000.0,ON,ON
2026-03-31,1513300000.0,ON,ON
2026-06-30,1603500000.0,ON,ON
2025-06-30,10365000000.0,QCOM,QCOM
2025-09-30,11271000000.0,QCOM,QCOM
2025-12-31,12252000000.0,QCOM,QCOM
2026-03-31,10599000000.0,QCOM,QCOM
2026-06-30,9947000000.0,QCOM,QCOM
2025-06-30,965000000.0,SWKS,SWKS
2025-09-30,1100200000.0,SWKS,SWKS
2025-12-31,1035400000.0,SWKS,SWKS
2026-03-31,943700000.0,SWKS,SWKS
2026-06-30,934800000.0,SWKS,SWKS
2025-06-30,4448000000.0,TXN,TXN
2025-09-30,4742000000.0,TXN,TXN
2025-12-31,4423000000.0,TXN,TXN
2026-03-31,4825000000.0,TXN,TXN
2026-06-30,5463000000.0,TXN,TXN
