date,quarter,year,revenue,ticker,company_name,revenue_yoy_growth
2022-12-31,4,2022,7320104000.0,ALB,,
2023-12-31,4,2023,9617203000.0,ALB,,31.380688033940494
2024-12-31,4,2024,5377526000.0,ALB,,-44.08430392911535
2025-12-31,4,2025,5142733000.0,ALB,,-4.366189954265209
2022-12-31,4,2022,9673000000.0,CE,,
2023-12-31,4,2023,10926000000.0,CE,,12.953582135842034
2024-12-31,4,2024,10268000000.0,CE,,-6.022332051986091
2025-12-31,4,2025,9544000000.0,CE,,-7.051032333463192
2022-12-31,4,2022,13017000000.0,DD,,
2023-12-31,4,2023,6614000000.0,DD,,-49.18952139509871
2024-12-31,4,2024,6719000000.0,DD,,1.5875415784699198
2025-12-31,4,2025,6849000000.0,DD,,1.9348117279357036
2022-12-31,4,2022,14187800000.0,ECL,,
2023-12-31,4,2023,15320200000.0,ECL,,7.981505236893671
2024-12-31,4,2024,15741400000.0,ECL,,2.749311366692342
2025-12-31,4,2025,16081200000.0,ECL,,2.1586390028841107
2022-12-31,4,2022,10580000000.0,EMN,,
2023-12-31,4,2023,9210000000.0,EMN,,-12.948960302457468
2024-12-31,4,2024,9382000000.0,EMN,,1.8675352877307372
2025-12-31,4,2025,8752000000.0,EMN,,-6.714986143679392
2022-12-31,4,2022,12440000000.0,IFF,,
2023-12-31,4,2023,11479000000.0,IFF,,-7.72508038585209
2024-12-31,4,2024,11484000000.0,IFF,,0.043557801202198654
2025-12-31,4,2025,10890000000.0,IFF,,-5.1724137931034475
2022-12-31,4,2022,50451000000.0,LYB,,
2023-12-31,4,2023,33336000000.0,LYB,,-33.92400547065469
2024-12-31,4,2024,33394000000.0,LYB,,0.17398608111351965
2025-12-31,4,2025,30153000000.0,LYB,,-9.705336287955923
2022-12-31,4,2022,15614000000.0,PPG,,
2023-12-31,4,2023,16242000000.0,PPG,,4.022031510183166
2024-12-31,4,2024,15845000000.0,PPG,,-2.44428026105159
2025-12-31,4,2025,15875000000.0,PPG,,0.1893341748185451
2022-12-31,4,2022,22148900000.0,SHW,,
2023-12-31,4,2023,23051900000.0,SHW,,4.076951902803305
2024-12-31,4,2024,23098500000.0,SHW,,0.202152534064437
2025-12-31,4,2025,23574300000.0,SHW,,2.0598740177933728
