,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
Communication Services,,0.7777343482505572,0.3432048139937014,0.24040897004651607,0.7595029207817495,0.08727602181408212,0.8199852986890789,0.8605050199890507,0.7803978284527734,0.6913895462081199,0.8943291870678811
Consumer Discretionary,0.664188774978776,,0.009196645078185406,0.3165898983879286,0.18664628972804886,0.03167781713348394,0.12027833037087254,0.6677545211871487,0.13185884113237423,0.05189549791936254,0.0041135653379348325
Consumer Staples,0.15352647231523586,0.42849769013268957,,0.05240254225013319,0.09766170107469341,0.0532373942044595,0.6126072294639708,0.714315487578336,0.8821958053624593,0.7127663567682101,0.9050506270279229
Energy,0.7908880157218567,0.9156478862031789,0.6762028384085264,,0.7200745397851323,0.9110902344985935,0.41822467090131354,0.5043534794930551,0.7799066139867817,0.6989160218233992,0.625363315673898
Financials,0.35647023793683796,0.12491609022325367,0.4521242133600313,0.18116153200564344,,0.6511662743876725,0.1962493964462465,0.4998399022813589,0.6401760972142023,0.4539044107247254,0.0879869330617058
Health Care,0.2697811317455775,0.39300150669120004,0.3153132640194598,0.10309149498731685,0.16987207125206294,,0.13885644779700634,0.14568580940093123,0.1347176263299672,0.17068254047676445,0.4605637756847851
Industrials,0.8275799306166107,0.76877140576267,0.01725706496853152,0.8996890805938539,0.30794736811279566,0.5094468021508938,,0.8181611694356654,0.2655933326403528,0.050202501179995696,0.7127854003009217
Information Technology,0.4740479662187467,0.7776382786268767,0.11332265282602616,0.05483985392688007,0.7646337972175626,0.21408183457309804,0.5942040985026744,,0.8299481211465732,0.7786726789856556,0.5620476459115844
Materials,0.6380180171827992,0.4216905722985712,0.5741546708958039,0.4653483607821066,0.7951496518018865,0.2545471065181757,0.6171194639552016,0.0826320174978662,,0.832416648212803,0.9035639169122812
Real Estate,0.29332898323501677,0.17674192304888026,0.4859930563297452,0.27065958307259685,0.08540421096022122,0.9411015834573123,0.3889084673709753,0.12699965216646647,0.3868118565415043,,0.9618078687842265
Utilities,0.6380920351845167,0.671819211436189,0.4860438277526722,0.26258829734362477,0.6905466913876037,0.6227329863500521,0.5034514787879648,0.586381434716103,0.1574460564671082,0.7089129133356069,
