,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,FROM
Communication Services,20.21,13.07,5.96,3.53,9.04,7.78,9.13,12.27,8.54,6.81,3.66,79.79
Consumer Discretionary,12.2,18.57,5.44,3.63,9.63,6.92,10.79,12.2,9.78,7.29,3.56,81.43
Consumer Staples,6.26,6.26,21.99,3.39,8.24,11.21,8.27,4.47,8.66,10.49,10.77,78.01
Energy,4.91,5.45,4.66,28.8,12.91,5.65,11.71,4.62,11.24,5.78,4.27,71.2
Financials,7.61,8.76,6.64,7.71,17.3,7.79,12.85,6.9,11.35,7.84,5.25,82.7
Health Care,7.53,7.33,10.29,3.79,8.95,20.16,9.36,6.96,9.26,9.16,7.21,79.84
Industrials,7.33,9.35,6.29,6.58,12.2,7.75,16.2,8.5,12.32,7.9,5.59,83.8
Information Technology,12.6,13.4,4.32,3.43,8.52,7.37,10.91,20.63,9.24,6.11,3.47,79.37
Materials,7.18,8.87,6.89,6.67,11.32,8.02,12.92,7.52,16.99,8.07,5.55,83.01
Real Estate,6.52,7.55,9.49,3.88,8.93,9.0,9.39,5.64,9.17,19.45,10.97,80.55
Utilities,4.39,4.66,12.13,3.44,7.47,8.96,8.35,4.03,7.93,13.9,24.75,75.25
TO,76.52,84.7,72.11,46.04,97.21,80.46,103.65,73.11,97.52,83.35,60.29,
NET,-3.28,3.27,-5.9,-25.16,14.51,0.62,19.85,-6.26,14.51,2.8,-14.96,79.54
